Era,Name,Notes,Length,Release Date,On Streaming?,Link(s),Type
Imperial,"Knotty Head [V2]
(feat. Rick Ross)",Track 4 off of both releases of Imperial.,,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/3DaXXVRXK7sWRNEugMe7s6?si=9f85b7016533436e,Album Track
Imperial,Me Now,Track 5 off of the streaming release of Imperial.,,"Oct 14, 2016",On Streaming ,https://open.spotify.com/track/5viCJ7GSQxVWUAPBVoV7IL?si=5e7862d9d864458d,Album Track
Imperial,Story: No Title,"Track 6 off of both releases of Imperial. Samples ""Crash Goes Love (Yell Apella)"" by Loleatta Holloway.",,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/737gwrDNwTCAwAjy02FSMO?si=04ae468553ac406c,Album Track
Imperial,This Life,Track 7 off of the streaming release of Imperial and track 9 off of the original release of Imperial.,,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/2aQwdBWk4vSPWk1Csgtzdo?si=1546ef01cdc14c4b,Album Track
Imperial,"Zenith
(feat. Joey Bada$$)",Track 8 off of both releases of Imperial.,,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/67T0J1IDGgRwNMp3vWYaVb?si=2ada04f568374401,Album Track
Imperial,"Good Night
(feat. Twelve'len & Nell)",Track 9 off of the streaming release of Imperial.,,"Oct 14, 2016",On Streaming ,https://open.spotify.com/track/6bcnokzOVQxpn0quzHj6vc?si=cbbe92ce206e4502,Album Track
Imperial,"If Tomorrows Not Here
(feat. Twelve'len)","Track 10 off of both releases of Imperial. Samples dialogue from the movie ""The Shawshank Redemption"" and ""Deixe Estar Como Está"" by Os Selvagens.",,"Mar 9, 2016",On Streaming ,https://open.spotify.com/track/3oy9CClx1zCGnhzse9AvDu?si=cd28f01eb70c4be6,Album Track
,Singles/Loose Songs,,,,,,
Imperial,2055 FREESTYLE,2015 Denzel freestyle. Not to be confused with 2055 BET HIP HOP AWARDS C9 CYPHER.,,"Nov 4, 2015",Off Streaming,https://pillows.su/f/00f4e368ede35ab4f66dd45cbc89b606,Single
Imperial,"Flying Nimbus
(feat. Lofty305)","Released in promotion for Denzel's ""2055: The ULT Experience"" Tour.",,"Jan 20, 2016",Off Streaming,https://soundcloud.com/denzelcurryph/flyingnimbus,Single
Imperial,Knotty Head [V1],"OG Filename: Knotty Head V5 L2
Version released before Rick Ross wanted to hop on the song.",,"Feb 17, 2016",Off Streaming,https://soundcloud.com/denzelcurryph/denzel-curry-knotty-head,Single
Imperial,"Knotty Head [UK Remix]
(feat. Rick Ross & AJ Tracey)",Remix of Knotty Head with AJ Tracey.,,"Dec 8, 2016",On Streaming ,https://open.spotify.com/track/2upqg13JAAjjA6MsHLbaol,Single
Imperial,"🌟 PURRPOSLEY
(feat. XXXTENTACION)",2nd SpaceGhostPurrp diss track featuring an intro and outro from XXXTENTACION.,,"Jan 26, 2016",Off Streaming,https://pillows.su/f/14d9f18c139a3e566857eddefb416f2d,Single
Imperial,"🌟 (RIP YAMS) SPACEGHOSTPUSSY
(feat. Ski Mask the Slump God, XXXTENTACION & Lofty305)",SpaceGhostPurrp diss track. SpaceGhostPurrp had dissed Denzel many times and Denzel didn't care however that was until SpaceGhostPurrp disrespected A$AP Yams.,,"Jan 24, 2016",Off Streaming,https://pillows.su/f/141ed584441bea51ca8a603fcacd76cc,Single
Imperial,"Today
(feat. Allan Kingdom & WESTSIDE BOOGIE)","Song Denzel released to promote his ""BLACK METAL TERRORIST"" tour.",,"Jul 25, 2016",Off Streaming,https://pillows.su/f/eb96688d12f72c9866af2751bd418f36,Single
Imperial,"ULTRA
(feat. Ruben Slikk, Rell, Nell & Yung Kane)",Surprise song released on Soundcloud in 2016.,,"Jul 4, 2016",Off Streaming,https://pillows.su/f/4fdfef188efba2a2f2631a1543de737b,Single
,XXL,,,,,,
Imperial,"XXL - XXL Freshman Freestyle: Denzel Curry
(with Denzel Curry)",Acapella freestyle Denzel did for XXL.,,"Jun 22, 2016",Off Streaming,Link Needed,Feature
Imperial,"XXL - 2016 XXL Freshman Cypher #2
(with Denzel Curry, 21 Savage, Lil Yachty, Lil Uzi Vert & Kodak Black)",The extremely famous 2016 XXL Freshman Cypher. Denzel reuses his verse from Power by Mike Dece.,,"Jul 6, 2016",Off Streaming,Link Needed,Feature
,Features ,,,,,,
Imperial,"Aaron Rose - Always With Me
(feat. Denzel Curry)",,,"Jun 25, 2016",Off Streaming,https://pillows.su/f/1cdafd54a18e6b725eedb057feb9c9cf,Feature
Imperial,"Darnell Williams - Pale Fire
(feat. Denzel Curry & Elohim)",,,"Sep 1, 2016",On Streaming ,https://open.spotify.com/track/6iwcLs6wLPJ25frIF9bCAU,Feature
Imperial,"J.K The Reaper - Dressed 2 Kill
(feat. Denzel Curry)",,,"Sep 7, 2016",On Streaming ,https://open.spotify.com/track/2ygAPlHJZbL0szNWfgov8F,Feature
Imperial,"Key Nyata - Car Phone
(feat. Denzel Curry)",,,"Sep 3, 2016",On Streaming ,https://open.spotify.com/track/1odC9pL2BPDHd9upUIgHNY,Feature
Imperial,"Lofty305 - Assisted Death
(feat. Denzel Curry)",,,"Dec 1, 2016",On Streaming ,https://open.spotify.com/track/4Cq5jQJkzKSoGrQg94lFQj,Feature
Imperial,"Nell - Redemption
(feat. Denzel Curry)",,,"Sep 13, 2016",On Streaming ,https://open.spotify.com/track/0YaMxJ32V1jFb7fym11PTN,Feature
Imperial,"Nyck Caution - Nyctophilia
(feat. Denzel Curry & Dyemond Lewis)","Song released by PRO ERA member Nyck Caution for his EP 22, released on his 22nd birthday.",,"Jan 15, 2016",Off Streaming,https://pillows.su/f/9eef0970084a95e88a5e655459b3a577,Feature
Imperial,"Rob $tone - Chill Bill Remix
(feat. Denzel Curry, DRAM & Cousin Stizz)",Remix of Rob $tone's song Chill Bill.,,"Aug 25, 2016",On Streaming ,https://open.spotify.com/track/2Vo3sVSCltAaYU1u0f9ASz,Feature
Imperial,"Rob Stone - Meetings
(feat. Denzel Curry)",,,"Sep 8, 2016",On Streaming ,https://open.spotify.com/track/7gW6VZtvZJkplqUHfuis2y,Feature
Imperial,"Ski Mask The Slump God - Unmask
(feat. Denzel Curry & Craig Xen)","Officially dropped on DSPs on May 30th, 2025.",,"May 16, 2016",On Streaming,https://open.spotify.com/track/5DRvMK0ebNEyy7EVWsJNpu?si=4ff13064f9904d40,Feature
Imperial,"Ski Mask The Slump God - Z-Day
(feat. Denzel Curry & Yung Simmie)",,,"Jan 13, 2016",Off Streaming,https://pillows.su/f/8826c8fc82940b38ccac28ad3c26ea80,Feature
Imperial,"$uicideboy$ - Cherry P.I.E
(feat. Denzel Curry)",Song by $uicideboy$. Samples Denzel's vocals on Threatz.,,"Feb 3, 2016",On Streaming ,https://open.spotify.com/track/1GIhxG5uedQGWlMIMqz8xu,Feature
Imperial,"$uicideboy$ - Ultimate $Uicide
(feat. Denzel Curry)",,,"Aug 28, 2016",On Streaming ,https://open.spotify.com/track/4D8NOZVCNZBfXNO8VZ3PXM,Feature
Imperial,"Yung Simmie - Shoot The 3
(feat. Denzel Curry)",,,"Jun 25, 2016",On Streaming ,https://open.spotify.com/track/0kIAP74p31aDbkw43QKXa0,Feature
Imperial,"Yoshi Thompkins - Du Rags
(feat. Denzel Curry)",,,"May 23, 2016",On Streaming ,https://open.spotify.com/track/401N7wYqu7su8tu8rTUWPo,Feature
TA13OO,,,,,,,
,13,,,,,,
TA13OO,Bloodshed,"OG Filename: Denzel Curry - Bloodshed (24 Bit Master)
Track 1 off of Denzel's EP ""13"".",,"Jun 26, 2017",On Streaming ,https://open.spotify.com/track/4DgImhJ5lY30bQdY6zVsb4?si=e414bd5ec8e54945,Album Track
TA13OO,Hate Government,"OG Filename: Denzel Curry - Heartless (Master W_Sample)
Track 2 off of Denzel's EP ""13"".",,"Jun 26, 2017",On Streaming ,https://open.spotify.com/track/5yplT3WzriMaDp31SsI0Uc?si=61bffb5dfd264116,Album Track
TA13OO,"Equalizer
(feat. RONNY J)","OG Filename: Denzel Curry - Hate Government (24 Bit Master)
Track 3 off of Denzel's EP ""13"".",,"Jun 26, 2017",On Streaming ,https://open.spotify.com/track/5GC39eRKcLeYTS3jMIAJOj?si=48952126dad74f6f,Album Track
TA13OO,Heartless,"OG Filename: Denzel Curry - Zeltron 6 Billion (24 Bit Master)
Track 4 off of Denzel's EP ""13"".",,"Jun 26, 2017",On Streaming ,https://open.spotify.com/track/6m5WyA5fWUnoVLMQ6YgqDf?si=e197a2cb2cb1479f,Album Track
TA13OO,"Zeltron 6 Billion
(feat. Lil Ugly Mane)","OG Filename: Denzel Curry - Equalizer (24 Bit Master)
Track 5 off of Denzel's EP ""13"".",,"Jun 26, 2017",On Streaming ,https://open.spotify.com/track/3J6XC8Xo5kWqitzWgV4zgl?si=1f05d2b818524b2a,Album Track
,TA13OO,,,,,,
TA13OO,"TABOO|TA13OO
(prod. FNZ & M-Sol)","Track 1 off of Denzel's album ""TA13OO"". Also track 1 of the light act of TA13OO.",,"Jul 25, 2018",On Streaming ,https://open.spotify.com/track/4VYmdTVFXDq0LtYMoVswTv?si=3a63040618f44107,Album Track
TA13OO,"BLACK BALLOONS|13LACK 13ALLOONZ
(feat. Twelve'len & GoldLink) (prod. Matt Rad, FNZ & Mickey De Grand IV)","Track 2 off of Denzel's album ""TA13OO"". Also track 2 of the light act of TA13OO. Samples ""Chapter 15: Mysterious Invaders"" by Yuzo Koshiro, Natsumi Kameoka & Yasunori Mitsuda.",,"Jul 25, 2018",On Streaming ,https://open.spotify.com/track/5mexbTuWx9d8DPZk4sDGF4?si=ddae3615ae6845db,Album Track
TA13OO,"CASH MANIAC|CAZH MAN1AC
(feat. Nyyjerya) (prod. DJ Swish, Mickey De Grand IV & FNZ)","Track 3 off of Denzel's album ""TA13OO"". Also track 3 of the light act of TA13OO.",,"Jul 25, 2018",On Streaming ,https://open.spotify.com/track/5ZJABzmKr9flocrtQqbINO?si=44cb6e089d7c49f2,Album Track
TA13OO,"SUMO|ZUMO
(prod. Charlie Heat)","Track 4 off of Denzel's album ""TA13OO"". Also track 4 of the light act of TA13OO.",,"Apr 6, 2018",On Streaming ,https://open.spotify.com/track/7EHAXZenBzmGCpccWCyg8z?si=1f7d415f172c4c0a,Album Track
TA13OO,"SUPER SAIYAN SUPERMAN|ZUPER ZA1YAN ZUPERMAN 
(prod. HWLS & FNZ)","Track 5 off of Denzel's album ""TA13OO"". Also track 1 of the grey act of TA13OO.",,"Jul 26, 2018",On Streaming ,https://open.spotify.com/track/3HXSQWIyz7CUEI96kUurwn?si=ce41afde60dd42b8,Album Track
TA13OO,"SWITCH IT UP|ZWITCH 1T UP
(prod. !llmind & RONNY J)","Track 6 off of Denzel's album ""TA13OO"". Also track 2 of the grey act of TA13OO.",,"Jul 26, 2018",On Streaming ,https://open.spotify.com/track/7oopoWQa0jicMSf9SFtxMK?si=6698dd345ad04e04,Album Track
TA13OO,"MAD I GOT IT|MAD 1 GOT 1T
(prod. Hippie Sabotage & FNZ)","Track 7 off of Denzel's album ""TA13OO"". Also track 3 of the grey act of TA13OO.",,"Jul 26, 2018",On Streaming ,https://open.spotify.com/track/6xXYFVsFDGSLNzeE9zGCiL?si=7ad1d9978fa64be1,Album Track
TA13OO,"SIRENS|Z1RENZ
(feat. JID & Billie Eilish) (prod. Dahi)","Track 8 off of Denzel's album ""TA13OO"". Also track 4 of the grey act of TA13OO. Has backing vocals from Billie Eilish. Samples ""Serpentine Fire"" by Mark Colby.",,"Jul 26, 2018",On Streaming ,https://open.spotify.com/track/6b4A1mLzePAHGn3XCicLAe?si=bdeaa6a26d224953,Album Track
TA13OO,"CLOUT COBAIN|CLOUT CO13A1N
(prod. Mike Hector & J Gramm)","Track 9 off of Denzel's album ""TA13OO"". Also track 5 of the grey act of TA13OO.",,"Jul 12, 2018",On Streaming ,https://open.spotify.com/track/2LNMhZ3YijTO7USmqjgJfG?si=8e7a519166ce42df,Album Track
TA13OO,"THE BLACKEST BALLOON|THE 13LACKEZT 13ALLOON
(prod. FNZ & Mickey De Grand IV)","Track 10 off of Denzel's album ""TA13OO"". Also track 1 of the dark act of TA13OO. Denzel don't fw this one for some reason.",,"Jul 27, 2018",On Streaming ,https://open.spotify.com/track/6FhEDaaRFyPRMYqhhXivO9?si=f2d602db57f24ef4,Album Track
TA13OO,"PERCS|PERCZ
(prod. Denzel Curry & FNZ)","Track 11 off of Denzel's album ""TA13OO"". Also track 2 of the dark act of TA13OO.",,"May 25, 2018",On Streaming ,https://open.spotify.com/track/2NjeQLvFsfeKdZoA7dbfL1?si=af764490a0c24a07,Album Track
TA13OO,"VENGEANCE|VENGEANCE
(feat. JPEGMAFIA & ZillaKami) (prod. Mickey De Grand IV & FNZ)","Track 12 off of Denzel's album ""TA13OO"". Also track 3 of the dark act of TA13OO. Transitions into BLACK METAL TERRORIST. This dumbass forgot to put any 13'able letters in the song title so it's just Vengeance twice 😭",,"Jul 27, 2018",On Streaming ,https://open.spotify.com/track/4d8BSdhx6WT5GtTOWpv4rh?si=2bc655c766b74a2b,Album Track
TA13OO,"BLACK METAL TERRORIST|13 M T
(prod. FNZ, RONNY J & M-Sol)","Track 13 off of Denzel's album ""TA13OO"". Also track 4 of the dark act of TA13OO. Samples ""Creepin on Ah Come Up"" by Bone Thugs-N-Harmony.",,"Jul 27, 2018",On Streaming ,https://open.spotify.com/track/5vm7y9SmcH0S1NOQanb8rQ?si=1ff5ec97045e49f2,Album Track
,BADBADNOTGOOD Sessions ,,,,,,
TA13OO,Ultimate - BADBADNOTGOOD Sessions,Live version of Ultimate with BADBADNOTGOOD.,,"Mar 24, 2017",On Streaming ,https://open.spotify.com/track/23y0JmWxGjqMXcAeRfw1Jw?si=96c176ed9e2d400e,Album Track
TA13OO,Sick & Tired - BADBADNOTGOOD Sessions,Live version of Sick & Tired with BADBADNOTGOOD.,,"Mar 24, 2017",On Streaming ,https://open.spotify.com/track/7blZp35difxyWHZPihifNA?si=677c6a3356ca4028,Album Track
,BLACK BALLOONS Remix EP,,,,,,
TA13OO,"BLACK BALLOONS [Telescope Thieves Remix]
(feat. Twelve'len & GoldLink)
(13LACK 13ALLOONZ)","A remix of Denzel Curry's song ""BLACK BALLOONS"".",,"Mar 29, 2019",On Streaming ,https://open.spotify.com/track/1MTRFYSerX3m4VxavhihPm,Album Track
TA13OO,"BLACK BALLOONS [Cancrejo Remix]
(feat. Twelve'len & GoldLink)
(13LACK 13ALLOONZ)","A remix of Denzel Curry's song ""BLACK BALLOONS"".",,"Mar 29, 2019",On Streaming ,https://open.spotify.com/track/2uSsl2FgWMBfNjluVSWE1E,Album Track
TA13OO,"BLACK BALLOONS [Manuvers Remix]
(feat. Twelve'len & GoldLink)
(13LACK 13ALLOONZ)","A remix of Denzel Curry's song ""BLACK BALLOONS"".",,"Mar 29, 2019",On Streaming ,https://open.spotify.com/track/5P0uAWVZA95563x4jWFAf5,Album Track
TA13OO,"BLACK BALLOONS [JerriousB Remix]
(feat. Twelve'len & GoldLink)
(13LACK 13ALLOONZ)","A remix of Denzel Curry's song ""BLACK BALLOONS"".",,"Mar 29, 2019",On Streaming ,https://open.spotify.com/track/35YJtKJ7HU1rDtpV4C6mdI,Album Track
TA13OO,"BLACK BALLOONS [Pazmal Remix]
(feat. Twelve'len & GoldLink)
(13LACK 13ALLOONZ)","A remix of Denzel Curry's song ""BLACK BALLOONS"".",,"Mar 29, 2019",On Streaming ,https://open.spotify.com/track/2ENHsB59lQBMnpBUQTWG8T,Album Track
TA13OO,"BLACK BALLOONS [Louby Remix]
(feat. Twelve'len & GoldLink)
(13LACK 13ALLOONZ)","A remix of Denzel Curry's song ""BLACK BALLOONS"".",,"Mar 29, 2019",On Streaming ,https://open.spotify.com/track/2s739Ol6VE0r5JMiLaR4uj,Album Track
,Singles/Loose Songs,,,,,,
TA13OO,🌟 R.I.P 2 R.I.P | R.1.P 2 R.1.P,"Freestyle released by Denzel Curry over Playboi Carti's ""R.I.P""",,"Oct 8, 2018",Off Streaming,https://youtu.be/YDkjUrgB1g4?si=v9oplBJpI4TdyEkG,Single
TA13OO,Skywalker,Standalone single released in 2017. Sounds a lot like an Imperial throwaway.,,"Aug 18, 2017",On Streaming ,https://open.spotify.com/track/0UzDPAMBI8miCHsYoqRb7g?si=73932367390c40ef,Single
TA13OO,"Uh Huh
(with IDK)","Standalone single released 3 months before TA13OO. Despite some TA13OO singles coming before it, Uh Huh never made the album.",,"Mar 16, 2018",On Streaming ,https://open.spotify.com/track/5l9dIvzjTUelyDLsiuB2Ls?si=383c3ba606a24fb6,Single
,Features,,,,,,
TA13OO,"A$AP Ferg - Kristi
(feat. Denzel Curry, IDK & NickNack)
(Kristi YamaGucci, Gucci)",,,"Feb 28, 2018",On Streaming ,https://open.spotify.com/track/1eOcjXKuBtvIi2NrSAFrPu,Feature
TA13OO,"Allan Kingdom - The Fusion
(feat. Denzel Curry)",,,"Apr 7, 2017",On Streaming ,https://open.spotify.com/track/4HuRdjsIevaqkAkIm1zP3v,Feature
TA13OO,"AJ Tracey - Alakazam
(feat. Denzel Curry & Jme)",,,"Oct 6, 2017",On Streaming ,https://open.spotify.com/track/1eaYzz97yez9nmBgmaOEPZ,Feature
TA13OO,"Ape Drums - Shellz
(feat. Denzel Curry & Frizzo)",,,"Jun 21, 2018",On Streaming ,https://open.spotify.com/track/6MnuXW54CEMG1qjlx4T3nv,Feature
TA13OO,"BET - 2017 BET Hip Hop Awards [Cypher 1]
(feat. Denzel Curry, Ski Mask The Slump God, Ball Greezy & Zoey Dollaz)",,,"Oct 6, 2017",Off Streaming,Link Needed,Feature
TA13OO,"BIJOU - Revelation
(feat. Denzel Curry & DJ Fresch)",,,"Feb 23, 2018",On Streaming ,https://open.spotify.com/track/0qDjX7TBrskshXMnnZWF7D,Feature
TA13OO,"Billy Davis - Goldfish
(feat. Denzel Curry & Kimbra)",,,"Aug 1, 2017",On Streaming ,https://open.spotify.com/track/5eqriQ63NwTECztsOCbhcE,Feature
TA13OO,"Daye Jack - Raw Remix
(feat. Denzel Curry & Grim Dave)","Remix of Daye Jack's song, Raw.",,"Mar 23, 2017",On Streaming ,https://open.spotify.com/track/7FoqC7ybIwYIJOpiqq3j3v,Feature
TA13OO,"Deniro Farrar - Witty
(feat. Denzel Curry)",,,"Jun 19, 2017",On Streaming ,https://open.spotify.com/track/7DBkm6BaK4lK7FlAuRFtUt,Feature
TA13OO,"Ekali - Babylon
(feat. Denzel Curry)",,,"Aug 18, 2017",On Streaming ,https://open.spotify.com/track/3Z3ANEnfT5iSJrNFJFHLQO,Feature
TA13OO,"Ekali - Babylon [Skrillex & RONNY J Remix]
(feat. Denzel Curry, Skrillex & RONNY J)",Remix of Babylon by Ekali & Denzel Curry.,,"Oct 6, 2017",On Streaming ,https://open.spotify.com/track/0sW7xBDLtKuGvcPxmt75CT,Feature
TA13OO,"Ekali - Babylon [Oshi & sober rob Remix]
(feat. Denzel Curry, Oshi & sober rob)",Remix of Babylon by Ekali & Denzel Curry.,,"Oct 6, 2017",On Streaming ,https://open.spotify.com/track/01HwCiFwoKttnf2ZuavsZi,Feature
TA13OO,"Ekali - Babylon [josh pan & X&G Remix]
(feat. Denzel Curry, josh pan & X&G)",Remix of Babylon by Ekali & Denzel Curry.,,"Oct 6, 2017",On Streaming ,https://open.spotify.com/track/531FLTy7W0RcSwC0WWpD2A,Feature
TA13OO,"Flatbush Zombies - The Glory
(feat. Denzel Curry)",,,"Apr 6, 2018",On Streaming ,https://open.spotify.com/track/58yJ902sAZLSNYzXKpyDM9,Feature
TA13OO,"IDK - No Wave
(feat. Denzel Curry)",,,"Feb 1, 2018",On Streaming ,https://open.spotify.com/track/429JfLMd92ya7rs0azUkQA,Feature
TA13OO,"J.K. The Reaper - Break The Bitch Freestyle
(feat. Denzel Curry)",,,"Nov 11, 2017",Off Streaming,https://soundcloud.com/jkthereaper/breakthebitch?ref=clipboard&p=i&c=0&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Feature
TA13OO,"Jamie Isaac - CNT U SEE - Remix
(feat. Denzel Curry & Wiki)","Remix of Jamie Isaac's song, CNT U SEE.",,"Feb 16, 2017",On Streaming ,https://open.spotify.com/track/2vg8AeWnZdTFVair44fuSc,Feature
TA13OO,"Juicy J - Too Many
(feat. Denzel Curry & Wiz Khalifa)",,,"Dec 8, 2017",On Streaming ,https://open.spotify.com/track/6AvsW8hTIaRdjHZV4fTvrv,Feature
TA13OO,"Lajan Slim - Two Peas In A Pod
(feat. Denzel Curry)",,,"Jan 28, 2018",Off Streaming,https://pillows.su/f/64c402585233cb03a3635dbb90fbafe1,Feature
TA13OO,"Little Dragon - High [Michael Uzowuru & Jeff Kleinman Remix]
(feat. Denzel Curry, Twelve'len, Michael Uzowuru & Jeff Kleinman)","Remix of Little Dragon's song, High.",,"Mar 20, 2017",On Streaming ,https://open.spotify.com/track/41pQgaKIeemyKFOxepD0i8,Feature
TA13OO,"Lunice - Distrust
(feat. Denzel Curry, JK The Reaper & Nell)",,,"Jun 27, 2017",On Streaming ,https://open.spotify.com/track/1tatFlzabZtZ9LTWD80zJT,Feature
TA13OO,"Lord Lu C N - Lucky
(with Denzel Curry, J.K. The Reaper & Leaf)",,,"Feb 26, 2018",On Streaming ,https://open.spotify.com/track/7GWdi54lJCS85Idesxhtdm,Feature
TA13OO,"Lord Lu C N - Whisper
(with Denzel Curry, Nyyjerya, Yoshi Thompkins & J.K. The Reaper)",,,"Feb 26, 2018",On Streaming ,https://open.spotify.com/track/6LYlKeaPgIk9ekCk9mq9nW?si=1568f5a086d946b2,Feature
TA13OO,"Lord Lu C N - Bipolar
(with Denzel Curry & J.K. The Reaper)",,,"Feb 26, 2018",On Streaming ,https://open.spotify.com/track/5bouyYqtRGYYEtMht3736U,Feature
TA13OO,"Lord Lu C N - A.S.S.
(with Denzel Curry & Anna Wise)",,,"Feb 26, 2018",On Streaming ,https://open.spotify.com/track/4tVgwVvKLAkYSHHvMmixVo,Feature
TA13OO,"Lord Lu C N - Analyze Deez
(with Denzel Curry)",,,"Feb 26, 2018",On Streaming ,https://open.spotify.com/track/4FFkLsXyQqbR6uX8Iku3WD,Feature
TA13OO,"Lord Lu C N - The Bodega Fucked Up My Hero Interlude
(with Denzel Curry)",,,"Feb 26, 2018",On Streaming ,https://open.spotify.com/track/2DBwRFXKozjgVMSZxgkxgg,Feature
TA13OO,"Lord Lu C N - Zeltron Takeover Freestyle
(with Denzel Curry)",,,"Feb 26, 2018",On Streaming ,https://open.spotify.com/track/4pleEedfbQwQxaAXCxM1GO,Feature
TA13OO,"Nell - Back in the Dayz
(feat. Denzel Curry, Twelve'len & Rell)",,,"Oct 26, 2017",On Streaming ,https://open.spotify.com/track/17D4PVtxHt7c2HwZIuiRBV,Feature
TA13OO,"Nell - Break Yo Self
(feat. Denzel Curry & Rell)",,,"Oct 26, 2017",On Streaming ,https://open.spotify.com/track/4tF6pY2y8r1jJANFCmw9Qs,Feature
TA13OO,"🗑️ Nell - Jew
(feat. Denzel Curry, Pouya & Shakewell)","Not surprising its not on streaming or an album, considering its called jew and the cover is a giant stack of money.",,"May 6, 2018",Off Streaming,https://soundcloud.com/n3_ll/jew-ft-denzel-curry-pouya-shakewell-prod-by-ronny-j,Feature
TA13OO,"Nell - My Niggas
(feat. Denzel Curry)",,,"Apr 15, 2018",Off Streaming,https://soundcloud.com/n3_ll/denzel-idea-1-rough-mix,Feature
TA13OO,"Promnite - Gunsmoke
(feat. Denzel Curry, Nell, Twelve'len & JK The Reaper)",,,"Mar 10, 2017",On Streaming ,https://open.spotify.com/track/5vpVWTfjeasV3Z4Z68gvs8,Feature
TA13OO,"RITUAL - Real Feels
(feat. Denzel Curry)",,,"Apr 7, 2017",On Streaming ,https://open.spotify.com/track/4WwweQORCVk8nhjrS0V7YG,Feature
TA13OO,"RONNY J - Glacier
(feat. Denzel Curry)",,,"Feb 23, 2018",On Streaming ,https://open.spotify.com/track/10LoXgTIHe2er0tylSToYc,Feature
TA13OO,"RONNY J - Houston
(feat. Denzel Curry)",,,"Feb 23, 2018",On Streaming ,https://open.spotify.com/track/1kC1OJ6X9p4X9nNWxFYK7e,Feature
TA13OO,"Show Me The Body - In A Grave
(feat. Denzel Curry, Eartheater & Moor Mother)",,,"Mar 24, 2017",On Streaming ,https://open.spotify.com/track/5iYsOFFm9jqytWpIOTzI2i,Feature
TA13OO,"Soulja Mook - BLACK PANTHER
(with Denzel Curry)",,,"Jan 18, 2018",Off Streaming,https://soundcloud.com/k-o-v/black-panther-ft-denzel-curry-prodby-djjt,Feature
TA13OO,"Twelve'len - Human Gods
(feat. Denzel Curry)",,,"Oct 11, 2016",On Streaming ,https://open.spotify.com/track/46Gw3PyTJLGA2SE8Kx0gHI,Feature
TA13OO,"Yoshi Thompkins - Monkey See Monkey Do
(feat. Denzel Curry, Nell & Sdotbraddy)",,,"Mar 28, 2017",Off Streaming,https://pillows.su/f/f9d2c9870514911218c1b06202cbb29f,Feature
ZUU,,,,,,,
,ZUU ,,,,,,
ZUU,"ZUU
(prod. Fabio Aguilarr, Keanu Beats, FNZ & Kenny Beats)","Track 1 off of Denzel Curry's 4th album ""ZUU"".",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/5sG65w8uKtjsJw7nc845Nc?si=a5a97a8995f4438c,Album Track
ZUU,"RICKY
(prod. FNZ)","Track 2 off of Denzel Curry's 4th album ""ZUU"". Samples ""Twisted Blood"" by Lukid and ""Mafia Niggas"" by Three 6 Mafia.",,"May 7, 2019",On Streaming ,https://open.spotify.com/track/2QbGvQssb0VLLS4x5NOmyJ?si=0aaf40f9a84c4785,Album Track
ZUU,"WISH
(feat. Kiddo Marv) (prod. Mickey De Grand IV, FNZ & Charlie Heat)","Track 3 off of Denzel Curry's 4th album ""ZUU"". Samples ""Genie"" by B.B. & Q. Band.",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/0shSP8DgseLewHgAiMC4UL?si=d3146fd0b9e142fd,Album Track
ZUU,"BIRDZ
(feat. Rick Ross) (prod. FNZ)","Track 4 off of Denzel Curry's 4th album ""ZUU"". Includes the iconic line ""Fuck a poptart we carry toasters for real""",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/0pA0rcw7ci5X5XHrnBpkdn?si=9da5cbaf42e94e3c,Album Track
ZUU,"AUTOMATIC
(with Tay Keith) (prod. Tay Keith)","Track 5 off of Denzel Curry's 4th album ""ZUU"".",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/2TqfASuL5JRds7bJX01PdZ?si=0f656a5c02974c04,Album Track
ZUU,"SPEEDBOAT
(feat. J NICS) (prod. Rugah Rahj)","Track 6 off of Denzel Curry's 4th album ""ZUU"". Samples ""Don Juan (Et Le Coryphée) by Michel Magne.",,"May 22, 2019",On Streaming ,https://open.spotify.com/track/2FTOLKjQUswhpdMFq15Raf?si=deccdb520f384c5b,Album Track
ZUU,"BUSHY B INTERLUDE
(prod. FNZ)","Track 7 off of Denzel Curry's 4th album ""ZUU"".",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/2wFwbyCz96QFLm2L6esbgf?si=569e99468b5b49c4,Album Track
ZUU,YOO,"YOOOOO?
Track 8 off of Denzel Curry's 4th album ""ZUU"".",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/3kUV3AVKhoWTNFxdFkCViB?si=c60a52c7fbfe42fc,Album Track
ZUU,"CAROLMART
(feat. Ice Billion Berg) (prod. Jasper Harris & FNZ)","Track 9 off of Denzel Curry's 4th album ""ZUU"".",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/5OO7ybh0GQlXslHX4U4Vgr?si=f59bd2617e0e4cfa,Album Track
