Era,Name,Info/Notes,Length,Leak Date,File Date,File Date,Type,"Availability
(aka Snippet Central)",Quality,Link(s)
IGOR,"✨ RUNNING OUT OF TIME (Live Version)
(feat. Childish Gambino)",Clip from Coachella 2024 of Tyler performing RUNNING OUT OF TIME with Childish Gambino.,3:59,"Apr 13, 2024",,,Performance,Full,Stream,https://pixeldrain.com/u/fNFxEUU9
IGOR,BEST INTEREST (Live Version),"Live version of ""BEST INTEREST"" with an alternate intro, and some alternate production.",2:01,"Apr 13, 2024",,,Performance,Full,Stream,https://pixeldrain.com/u/FfJpqQub
Bodega,Confetti [V2],"Updated version of ""Confetti."", made in 2008.",2:31,"Mar 29, 2024","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/CdwSn4nM
Ace,Begin (Intro),"Ace beat, made on February 15th, 2008.",1:43,"Mar 18, 2024","Feb 15, 2008","Feb 15, 2008",Instrumental,Full,High Quality,https://pixeldrain.com/u/QpQ9EkBP
Stereo-Type,"Supersonic (Instrumental) [V1]
(Herpes On My Lip (Instrumental), Herpes Instrumental)","Early version of ""Supersonic"" that was used as the instrumental to ""Herpes On My Lip,"" made on October 10th, 2007. Reused on Eargasm.",2:03,"Mar 18, 2024","Oct 10, 2007","Oct 10, 2007",Instrumental,Full,High Quality,https://pixeldrain.com/u/eTmgKHW5
Rolling Papers,"Drunk [V1]
(prod. Tyler, The Creator)","Rough draft of ""Drunk"" by Domo Genesis, does not include Mike G, Tyler, The Creator or Hodgy Beats.",2:40,"Mar 18, 2024",,,Song,Full,High Quality,https://pixeldrain.com/u/y5N7JVsY
The Jellies!,Michael Song,"OG Filename: J203 MichaelSong fromTyler
Joke song by Tyler, apparently The Jellies!-era. Made on November 1st, 2018.",1:35,"Mar 18, 2024","Nov 1, 2018","Nov 1, 2018",Song,OG File,Lossless,https://pixeldrain.com/u/NWCFR4bH
IGOR,"GONE, GONE [V5]
(Love Gone, Love's Gone)","Version of ""GONE, GONE"" with less production & alternate mixing, made using the instrumental & acapella.",4:42,"Mar 18, 2024",,,Song,Stem Bounce,Lossless,
IGOR,"GONE, GONE (Instrumental)
(Love Gone, Love's Gone)","OG Filename: Love Gone NHPMix Recall Redux Final Instrumental 01
Instrumental to ""GONE, GONE.""",4:41,"Mar 18, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/oCxHBrsn
IGOR,"GONE, GONE (Acapella)
(feat. CeeLo Green)
(Love Gone, Love's Gone)","OG Filename: Love Gone NHPMix Recall Redux Final Acapella 06
Acapella to ""GONE, GONE.""",4:41,"Mar 18, 2024",,,Acapella,OG File,Lossless,https://pixeldrain.com/u/QpFHXsJS
Ill Cab TV Thief,⭐️ ITCT,"Ill Tv Cab Thief beat, stands for Ill TV Cab Thief which would make this the title track.",4:01,"Mar 12, 2024","Aug 11, 2008","Aug 11, 2008",Instrumental,Full,High Quality,https://pixeldrain.com/u/azMw2XG7
Flower Boy,911 (Acapella),"OG Filename: 12 911-Acapella 1644-REF 14Aug2017
Acapella to ""911.""",2:35,"Mar 11, 2024",,,Acapella,OG File,High Quality,https://pixeldrain.com/u/xVWesCuJ
Flower Boy,911 (Instrumental),"OG Filename: 10 911-Instrumental 1644-REF 14Aug2017
Instrumental to ""911.""",2:37,"Mar 11, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/jUTApz8W
Ace,Breeze,Loose instrumental made in 2008.,1:13,"Feb 23, 2024","Jun 30, 1905",2008,Instrumental,Full,CD Quality,https://pixeldrain.com/u/neU6QJ5L
Ace,Fender Bass Jam,"Loose instrumental made in 2008, given to us by Jack Mushroom.",0:56,"Feb 23, 2024","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/ZN5o19A6
Ace,🗑️ Assjuice,Loose instrumental made in 2009.,1:27,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/NSnpQAk1
Ace,Beef,Loose instrumental made in 2009.,2:10,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/ynv4Scp8
Ace,⭐ 15,"Loose instrumental, made around 2010 - 2011.",2:40,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/AF4T4eej
Ace,Home Videos,Loose instrumental made in 2012.,2:04,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/FpUXSJPA
Ace,Lord Willing,Loose instrumental made in 2010.,3:30,"Feb 23, 2024","Jul 2, 1905",2010,Instrumental,Full,High Quality,https://pixeldrain.com/u/mNCY5oUi
Ace,Wron,"Instrumental, made in 2011. Could be a reference to Wron G. from Loiter Squad.",3:06,"Feb 23, 2024","Jul 3, 1905",2011,Instrumental,Full,High Quality,https://pixeldrain.com/u/XR3Fv696
Ill Cab TV Thief,Workshop,Ill Cab TV Thief beat.,4:21,"Feb 23, 2024","Dec 28, 2008","Dec 28, 2008",Instrumental,Full,High Quality,https://pixeldrain.com/u/rr1uRQGk
Dinosaur,French! (Instrumental) [V2],"Instrumental to ""French,"" made on June 14th, 2009.",4:03,"Feb 23, 2024","Jun 14, 2009","Jun 14, 2009",Instrumental,Full,High Quality,https://pixeldrain.com/u/SXMjrXSd
Goblin,"Arm
(Sandwitches [Instrumental] [V1])","Instrumental to ""Sandwitches."" Made in 2010. ",3:50,"Feb 23, 2024","Jul 2, 1905",2010,Instrumental,Full,High Quality,https://pixeldrain.com/u/ZLJNdHoJ
Goblin,She (Clean Version),"Clean version of ""She.""",4:15,"Feb 23, 2024",,,Remix,Full,High Quality,https://pixeldrain.com/u/gk8hiaRu
Goblin,Tron Cat (Clean Version),"Clean version of ""Tron Cat.""",4:14,"Feb 23, 2024",,,Remix,Full,High Quality,https://pixeldrain.com/u/Jvs8kLVQ
Nilbog,"Leather (BADBADNOTGOOD Remix)
(prod. Tyler, The Creator & BADBADNOTGOOD)","Remix of ""Leather"" done by BADBADNOTGOOD, mentioned by Tyler on the freeperm archive in December 2012.",1:40,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/4qYRm6sw
WOLF [V2],PartyIsntOver [V2],"OG Filename: PARTYISNTOVER BNCE 1.3 RUFF HK
Rough draft of ""PartyIsntOver"" with different mixing, no fade in from Colossus, and no fade out.",2:08,"Feb 23, 2024",,,Song,Full,CD Quality,https://pixeldrain.com/u/N3qbicii
WOLF [V3],"Treehomefallon
(Treehome95, Treehome, Crayon)","Remix of ""Treehome95"" that was used as a reference for the Jimmy Fallon performance. This version is pitched up, shorter and only contains the bridge and main section of the song.",1:45,"Feb 23, 2024",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/mYyLzvVs
WOLF [V3],48 (Show Mix),"OG Filename: 01 48-CarnivalShow 1644-REF 10NOV2016
Show mix of ""48"" that was played at Camp Flog Gnaw 2016.",4:11,"Feb 23, 2024",,,Show Mix,OG File,Lossless,https://pixeldrain.com/u/av6wkMcy
WOLF [V3],"Bimmer [V2] (Show Mix)
(feat. Frank Ocean)","OG Filename: 02 Bimmer-CarnivalShow 1644-REF 10NOV2016
Show mix of ""Bimmer"" that was made for Camp Flog Gnaw 2016.",1:46,"Feb 23, 2024",,,Show Mix,OG File,Lossless,https://pixeldrain.com/u/U29ZBxB9
The Jellies!,🗑️ Brenda,"OG Filename: Brenda 83 RUFF REF3
Full song from The Jellies! soundtrack, made on October 12th, 2017.",1:23,"Feb 23, 2024","Oct 12, 2017","Oct 12, 2017",Song,OG File,Lossless,https://pixeldrain.com/u/pTpk8kkL
The Jellies!,Debbie Goo Scene,Beat from The Jellies! soundtrack.,0:21,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/UYqJR2h6
The Jellies!,Debbie Suspense,Beat from The Jellies! soundtrack.,0:12,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/K94NYtXz
The Jellies!,"Easy
(feat. Jasper Dolphin)
(Bouncin' On A Fo Deuce)","Beat from The Jellies! soundtrack, features Jasper Dolphin.",0:29,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/GodYEVJe
The Jellies!,Finale,Beat from The Jellies! soundtrack.,0:49,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/W9ugsFyL
The Jellies!,Game Noise,Beat from The Jellies! soundtrack.,0:41,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/h4k7md9b
The Jellies!,Gangsta Paridise,"Beat from The Jellies! soundtrack, interpolates ""Poison"" by Bell Biv Devoe",0:47,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/3ccJqqEK
The Jellies!,Hallway,Beat from The Jellies! soundtrack.,0:33,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/kwHN9pi8
The Jellies!,Jingle,Beat from The Jellies! soundtrack.,0:28,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/WTL4htPm
The Jellies!,Jump,"Beat from The Jellies! soundtrack, interpolates ""Jump"" by Kris Kross.",0:37,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/srCTSVXV
The Jellies!,KY Diary Scene,Beat from The Jellies! soundtrack.,0:31,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/vA7pUJe4
The Jellies!,Latin,Beat from The Jellies! soundtrack.,0:48,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/wqUWdoXk
The Jellies!,Lenard's Theme,Beat from The Jellies! soundtrack.,0:04,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/c8HStBSs
The Jellies!,Mari,Beat from The Jellies! soundtrack.,0:31,"Feb 23, 2024",,,Instrumental,OG File,CD Quality,https://pixeldrain.com/u/BkknyCj3
The Jellies!,Neo Soul,Beat from The Jellies! soundtrack.,0:43,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/kRBKmw5K
The Jellies!,New Jack,Beat from The Jellies! soundtrack.,0:33,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/CMji4v7X
The Jellies!,"✨ Outro
(HAIRBLOWS)","Beat from The Jellies! soundtrack, might be an early version of the Cherry Bomb song ""HAIRBLOWS.""",0:32,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/MUtjGvxQ
The Jellies!,Pasty,Beat from The Jellies! soundtrack.,0:37,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/k1GpjsJE
The Jellies!,Peanut,Beat from The Jellies! soundtrack.,0:59,"Feb 23, 2024",,,Instrumental,OG File,CD Quality,https://pixeldrain.com/u/RcY9GB78
The Jellies!,Reggeton,Short song from The Jellies! soundtrack. The version is a stem bounce made by combining the instrumental and acapella that leaked.,0:43,"Feb 23, 2024",,,Song,Stem Bounce,Lossless,https://pixeldrain.com/u/JtzsxCQb
The Jellies!,🗑️ Sadis,Song from The Jellies! soundtrack. A misspelling of AIDS.,0:42,"Feb 23, 2024",,,Song,OG File,Lossless,https://pixeldrain.com/u/BRt9pvAZ
The Jellies!,Samuel,Beat from The Jellies! soundtrack. ,0:26,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/DZEs721D
The Jellies!,Talent,Beat from The Jellies! soundtrack.,0:42,"Feb 23, 2024",,,Instrumental,OG File,CD Quality,https://pixeldrain.com/u/13FHce92
The Jellies!,Werk,The instrumental played at the outro.,0:24,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/sXGj9tEB
The Jellies!,Yeezus,Beat from The Jellies! soundtrack.,0:34,"Feb 23, 2024",,,Instrumental,OG File,CD Quality,https://pixeldrain.com/u/ahrPYfU8
The Jellies!,"???
(Output 1-2)","Full song from The Jellies! soundtrack, likely unnamed since Output 1-2 is the default filename for unnamed Logic files.",1:35,"Feb 23, 2024",,,Song,OG File,CD Quality,https://pixeldrain.com/u/QzbKrqyQ
The Jellies!,Reggeton (Instrumental),"Instrumental to ""Reggeton.""",0:43,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/ixn9ZN9f
The Jellies!,Reggeton (Acapella),"Acapella to ""Reggeton.""",0:43,"Feb 23, 2024",,,Acapella,OG File,Lossless,https://pixeldrain.com/u/o2Xj6x72
Cherry Bomb,"Dancing [V1]
(Stevie, When Gloves Come Off)","Earlier version of ""When Gloves Come Off.""",,"Feb 23, 2024",,,Song,Snippet,High Quality,https://pixeldrain.com/u/CXj2Hgif
Cherry Bomb,"Stevie [V2]
(When Gloves Come Off)","Original version of ""When Gloves Come Off"" that can be heard in the background of the 2SEATER outro, dated 2014.",1:55,"Feb 23, 2024",,,Song,Full,High Quality,https://pixeldrain.com/u/iKyC6rXt
Scum Fuck Flower Boy,"Faggol (Sessions)
(Who Dat Boy)","Sessions for an early version of ""Who Dat Boy"", mainly has stems and is missing a ton of files.",,"Feb 23, 2024",,,Sessions,Partial,High Quality,https://imgur.gg/f/6xnRFmA
Flower Boy,"Toronto [V7]
(feat. Kali Uchis)
(See You Again)","Original mix of ""See You Again"" that sounds like the released version but with a worse, slower mix.",3:06,"Feb 23, 2024",,,Song,Full,High Quality,https://pixeldrain.com/u/7tFe5pxU
Flower Boy,911 [V1] (Show Mix),"OG Filename: 02 911-ShowMixTVNoFOVox 1644-REF 24Jul2017
Early version of the ""911"" show mix, has no Frank Ocean vocals. Dated July 24th, 2017.",2:59,"Feb 23, 2024",,,Show Mix,OG File,High Quality,https://pixeldrain.com/u/AAT7geqz
Flower Boy,"911 [V2] (Show Mix)
(feat. Frank Ocean)","OG Filename: 03 911-ShowMixTVWithFOVox 1644-REF 24Jul2017
Early version of the ""911"" show mix, does have Frank Ocean vocals. Dated July 24th, 2017.",2:59,"Feb 23, 2024",,,Show Mix,OG File,High Quality,https://pixeldrain.com/u/m7ZinPzA
Flower Boy,"✨ 911 [V3] (Show Mix)
(feat. Frank Ocean)","OG Filename: 04 911-ShowMix 1644-REF 13Jul2017
Final show mix for ""911"" with an alternate intro and extended outro. Dated July 13th, 2017 (weirdly predates the earlier versions). According to Tyler, this is from the 17th version of 911.",4:01,"Feb 23, 2024",,,Show Mix,OG File,High Quality,https://pixeldrain.com/u/pLcYSpRJ
Flower Boy,"See You Again (Show Mix)
(feat. Kali Uchis)","OG Filename: 09 Toronto-ShowMix 1644-REF 24Jul2017
Show mix of ""See You Again"" with an alternate outro and some lyrics missing, not the version with the alternate intro unfortunately.",3:10,"Feb 23, 2024",,,Show Mix,OG File,High Quality,https://pixeldrain.com/u/SuuyRc2D
Flower Boy,Sometimes... (Show Mix),"OG Filename: 07 RadioSkit-ShowMix2Revised 1644-REF 24Jul2017
Show mix of ""Sometimes..."" that Tyler performed at a concert.",1:17,"Feb 23, 2024",,,Show Mix,OG File,Lossless,https://pixeldrain.com/u/BHxeGcKP
Flower Boy,"WHAT THE FUCK RIGHT NOW (Show Mix)
(feat. A$AP Rocky)
(Freestyle 4)","OG Filename: 03 WTFRN-CarnivalShow 1644-REF 10NOV2016
Show mix of ""WHAT THE FUCK RIGHT NOW"" that was played at Camp Flog Gnaw 2016. Contains an extended intro.",4:44,"Feb 23, 2024",,,Show Mix,OG File,Lossless,https://pixeldrain.com/u/hDs1c2XR
Flower Boy,"Enjoy Right Now, Today (Acapella)
(feat. Pharrell)","OG Filename: 19 EnjoyRightNowToday-Acapella 1644-REF 14Aug2017
Acapella to ""Enjoy Right Now, Today,"" only contains Pharrell's part.",0:49,"Feb 23, 2024",,,Acapella,OG File,High Quality,https://pixeldrain.com/u/fPyKVux9
Flower Boy,I Ain't Got Time! (Acapella),"OG Filename: 10 IAintGotTime-Acapella 1644-REF 14Aug2017
Acapella to ""I Ain't Got Time!,"" has vocals from A$AP Rocky.",2:58,"Feb 23, 2024",,,Acapella,OG File,High Quality,https://pixeldrain.com/u/eDAGxruL
Flower Boy,Pothole (Acapella),"OG Filename: 06 Pothole-Acapella 1644-REF 14Aug2017
Acapella to ""Pothole,"" seems to be a different mix.",4:05,"Feb 23, 2024",,,Acapella,OG File,High Quality,https://pixeldrain.com/u/5HWaaAti
Flower Boy,Boredom (Instrumental),"OG Filename: 08 Boredom-Instrumental 1644-REF 14Aug2017
Instrumental to ""Boredom.""",4:24,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/hzXe468r
Flower Boy,Droppin' Seeds (Instrumental),"OG Filename: 12 DroppinSeeds-Instrumental 1644-REF 14Aug2017
Instrumental to ""Droppin' Seeds.""",1:06,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/E7SfBMpv
Flower Boy,"Enjoy Right Now, Today (Instrumental)","OG Filename: 14 EnjoyRightNowToday-Instrumental 1644-REF 14Aug2017
Instrumental to ""Enjoy Right Now, Today.""",3:58,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/ExcJYMK2
Flower Boy,Glitter (Instrumental),"OG Filename: 13 Glitter-Instrumental 1644-REF 14Aug2017
Instrumental to ""Glitter.""",3:37,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/4hd1GKAw
Flower Boy,I Ain't Got Time! (Instrumental),"OG Filename: 09_IAintGotTime-Instrumental_1644-REF_14Aug2017
Instrumental to ""I Ain't Got Time!.""",3:18,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/rj1YbVyz
Flower Boy,"See You Again (Instrumental)
(feat. Kali Uchis)","OG Filename: 04_SeeYouAgain-Instrumental_1644-REF_14Aug2017
Instrumental to ""See You Again"" that still has vocals from Kali Uchis.",3:01,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/Ec3Dx4Wj
Flower Boy,Sometimes... (Instrumental),"OG Filename: Sometimes Instrumental 1644-REF 14Aug2017
Instrumental to ""Sometimes.""",0:37,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/KpazXNoL
Flower Boy,Where This Flower Blooms (Instrumental),"OG Filename: 02 WhereThisFlowerBlooms-Instrumental 1644-REF 14Aug2017
Instrumental to ""Where This Flower Blooms.""",3:18,"Feb 23, 2024",,,Instrumental,OG File,High Quality,https://pixeldrain.com/u/f31UTQiY
WANG$AP,"Potato Salad (Acapella)
(with A$AP Rocky)
(Sexydick)","OG Filename: 05__PotatoSalad-NHPMixFinal-Acapella_1644-REF_13Aug2018_1644-REF_13Aug2018
Acapella to ""Potato Salad.""",2:59,"Feb 23, 2024","Aug 13, 2018","Aug 13, 2018",Acapella,OG File,Lossless,https://pixeldrain.com/u/upENTdPJ
Grinch EP,"Q BASSUP
(Big Bag)","OG Filename: Q BASSUP Final_01
OG File for the released version of ""Big Bag"".",1:24,"Feb 23, 2024",,,Song,OG File,Lossless,https://pixeldrain.com/u/Jeth1iE7
Grinch EP,"Bloom (Stems)
(Whoville)","Stems for the released version of ""Whoville"".",,"Feb 23, 2024",,,Stems,OG File,Lossless,https://pixeldrain.com/u/WqTehUnH
Grinch EP,"Christmas (Stems)
(feat. Ryan Beatty & Santigold)
(Lights On)","Stems for the released version of ""Lights On"".",,"Feb 23, 2024",,,Stems,OG File,Lossless,https://pixeldrain.com/u/Jr8nCPd2
Grinch EP,"Cindy Lou (Stems)
(Cindy Lou's Wish)","Stems for the released version of ""Cindy Lou's Wish"".",,"Feb 23, 2024",,,Stems,OG File,Lossless,https://pixeldrain.com/u/cWi3d2ZH
Grinch EP,"Q BASSUP (Stems)
(Big Bag)","Stems for the released version of ""Big Bag"".",,"Feb 23, 2024",,,Stems,OG File,Lossless,https://pixeldrain.com/u/FLAFhqMD
Grinch EP,"Stevie (Stems)
(feat. Ryan Beatty)
(When Gloves Come Off)","Stems for the released version of ""When Gloves Come Off"".",,"Feb 23, 2024",,,Stems,OG File,Lossless,https://pixeldrain.com/u/tDTvo7Kg
Grinch EP,"Christmas (Instrumental)
(Lights On)","Instrumental to ""Lights On"".",2:33,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/HDdxCmzZ
Grinch EP,Hot Chocolate (Instrumental),"Instrumental to ""Hot Chocolate"".",2:15,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/tPRnvF8D
Grinch EP,"Q BASSUP (Instrumental)
(Big Bag)","Instrumental to ""Big Bag"".",1:24,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/EtEr3SdV
Grinch EP,"Stevie (Instrumental)
(When Gloves Come Off)","Instrumental to ""Stevie"".",1:54,"Feb 23, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/Jzvv9Mum
Grinch EP,I Am The Grinch (Instrumental),"Instrumental to ""I Am The Grinch"".",2:39,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/S3ZJD9nu
Grinch EP,"You're A Mean One, Mr. Grinch (Instrumental)","Instrumental to ""You're A Mean One, Mr. Grinch"".",1:50,"Feb 23, 2024",,,Instrumental,OG File,Lossless,https://pixeldrain.com/u/PhMJuuiR
Grinch EP,"Christmas (Acapella)
(feat. Ryan Beatty & Santigold)
(Lights On)","Acapella to ""Lights On"".",2:33,"Feb 23, 2024",,,Acapella,OG File,Lossless,https://pixeldrain.com/u/AgaZ5qHA
Grinch EP,"Hot Chocolate (Acapella)
(feat. Jerry Paper)","Acapella to ""Hot Chocolate"".",2:15,"Feb 23, 2024",,,Acapella,OG File,Lossless,https://pixeldrain.com/u/LMTNWtjK
Grinch EP,"Stevie (Acapella)
(feat. Ryan Beatty)
(When Gloves Come Off)","Acapella to ""Stevie"".",1:54,"Feb 23, 2024",,,Acapella,Full,High Quality,https://pixeldrain.com/u/FAzn4WM5
Grinch EP,"Christmas (TV Track)
(Lights On)","TV Track to ""Lights On"".",2:33,"Feb 23, 2024",,,TV Track,OG File,Lossless,https://pixeldrain.com/u/Ud6vSDB6
Grinch EP,Hot Chocolate (TV Track),"TV Track to ""Hot Chocolate"".",2:15,"Feb 23, 2024",,,TV Track,OG File,Lossless,https://pixeldrain.com/u/UKrQFz61
IGOR,"Intro [V2]
(feat. Lil Uzi Vert & Solange)
(IGOR'S THEME)","OG Filename: 01 Intro 1644-REF 29Apr2019 3
Original version of ""IGOR'S THEME"" with a lower pitch and some differences in the instrumental, made on April 29th, 2019, previewed on Tyler's ""scumfuckflowerboy"" Instagram & leaked on February 23rd, 2024.",3:27,"Feb 23, 2024","Apr 29, 2019","Apr 29, 2019",Song,OG File,High Quality,https://pixeldrain.com/u/3ohKNwpK
IGOR,435,"OG Filename: 01 435-NHPMix1.1Final 1644-REF 29May2018 & 02 435-NHPMix1.1Final-Clean 1644-REF 29May2018
OG File for the released version of ""435,"" bounced on May 29th, 2018 (7 days after the song was released lmao). Available in both explicit and clean.",1:34,"Feb 23, 2024","May 29, 2018","May 29, 2018",Song,OG File,Lossless,"https://pixeldrain.com/u/zLcoqNRX
https://pixeldrain.com/u/UNpUFWjb"
IGOR,"EARFQUAKE / NEW MAGIC WAND (Show Mix)
(feat. Charlie Wilson & Boyz II Men)","OG Filename: 01 NewMagicWand-GrammyShowMix 320kbps 24Jan2020
Show mix of ""EARFQUAKE"" and ""NEW MAGIC WAND"" that was played at the 62nd Annual Grammy Awards on January 26th, 2020.",4:40,"Feb 23, 2024",,,Show Mix,OG File,CD Quality,https://pixeldrain.com/u/thRqXFLV
IGOR,435 (Instrumental),"OG Filename: 03 435-NHPMix1.1Final-Instrumental 1644-REF 29May2018
Instrumental to ""435.""",1:34,"Feb 23, 2024","May 29, 2018","May 29, 2018",Instrumental,OG File,Lossless,https://pixeldrain.com/u/iQHpPiaj
IGOR,435 (Acapella),"OG Filename: 04 435-NHPMix1.1Final-Acapella 1644-REF 29May2018
Acapella to ""435.""",1:34,"Feb 23, 2024","May 29, 2018","May 29, 2018",Acapella,OG File,Lossless,https://pixeldrain.com/u/sF35iWji
IGOR,435 (Clean Acapella),"OG Filename: 05_435-NHPMix1.1Final-CleanAcapella_1644-REF_29May2018
Clean acapella to ""435.""",1:34,"Feb 23, 2024",,,Acapella,OG File,Lossless,https://pixeldrain.com/u/zdZzmnrk
CALL ME IF YOU GET LOST [V1],"LUMBERJACK [V4]
(prod. Tyler, The Creator & Prince Paul)
(ROLLSROYCE)","OG Filename: LUMBERJACK REF 1
Original version of ""LUMBERJACK"" without DJ Drama.",2:19,"Feb 23, 2024",,,Song,OG File,High Quality,https://pixeldrain.com/u/4csMFvNQ
Ace,"Bang [V1]
(Blast)",Loose instrumental made in 2007.,3:28,"Feb 22, 2024","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/aamWiZK1
Ace,I Don't Know (Instrumental),"Instrumental to ""I Don't Know"" by Casey Veggies, made on December 4th, 2007.",1:43,"Feb 22, 2024","Dec 4, 2007","Dec 4, 2007",Instrumental,Full,High Quality,https://pixeldrain.com/u/PMCTsg4j
Ace,Lure,"Loose instrumental, made on October 16th, 2007 alongside ""Thump.""",1:42,"Feb 22, 2024","Oct 16, 2007","Oct 16, 2007",Instrumental,Full,High Quality,https://pixeldrain.com/u/7n745cvL
Ace,Slapstick,"Loose instrumental made in 2007, played on Nuts + Bolts.",3:34,"Feb 22, 2024","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/CQ2uQSRC
Ace,Sonic (1/2),"Loose instrumental, made on October 4th, 2007.",3:17,"Feb 22, 2024","Oct 4, 2007","Oct 4, 2007",Instrumental,Full,High Quality,https://pixeldrain.com/u/BckhtXd6
Ace,Summa,"Loose instrumental, made on August 25th, 2007.",2:05,"Feb 22, 2024","Aug 25, 2007","Aug 25, 2007",Instrumental,Full,High Quality,https://pixeldrain.com/u/yuhgh2Nv
Ace,Tre,"Loose instrumental, made on November 1st, 2007.",4:25,"Feb 22, 2024","Nov 1, 2007","Nov 1, 2007",Instrumental,Full,High Quality,https://pixeldrain.com/u/rgnF4wAv
Ace,"Chalk 
(Puppy Love [V2])","Later version of ""Puppy Love"", made in 2008.",1:39,"Feb 22, 2024","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/jb4mc1DT
Ace,🗑️ Hanna,Loose instrumental made in 2008.,2:30,"Feb 22, 2024","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/os6Qpjrk
Ace,Notes,Loose instrumental made in 2008.,2:23,"Feb 22, 2024","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/UvwrRruX
Ace,Tasstywater,Loose instrumental made in 2008.,1:46,"Feb 22, 2024","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/y8uPDkym
Ace,Tripp,Loose instrumental made in 2008.,1:02,"Feb 22, 2024","Jun 30, 1905",2008,Instrumental,Full,High Quality,https://pixeldrain.com/u/ksZnR47T
Ace,"⭐ Astro
(Tyler FL 2)","Loose instrumental made in 2009. Formerly known as ""Tyler FL 2"".",3:34,"Feb 22, 2024","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/ysfQ5rEE
Ace,Green And Purple Pussy Milk Part 2,Loose instrumental made in 2009. Played on Nuts + Bolts.,1:23,"Feb 22, 2024",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/Yv4maFde
Ace,"Jasp
(Highlights (Instrumental))","Instrumental to ""Highlights"" by Mike G, originally on ""Dolphin Life"" by Jasper Dolphin. #2 Tyler beat on his Top 10 list. ",3:02,"Feb 22, 2024","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/isEE2Aq8
