Era,Name,Notes,Length,"Release
Date",Type,Streaming,Link(s),Alternate Link(s)
,"Passion, Pain & Demon Slayin","(12/05/15) (Kid Cudi releases Speedin' Bullet 2 Heaven)
(12/16/2016) (Passion, Pain & Demon Slayin officially releases)
(2015-2016)",,,"On 05/11/2016, Kid Cudi addressed ""Man On The Moon III"" rumors and revealed 'PP&DS.' On October 5th, 2016, Cudi would check into rehab for depression and suicidal urges. The album features a mix of introspective and introverted lyrics, which showcase Kid Cudi's personal struggles and journey towards self-discovery. The album draws inspiration from various genres including alternative, hip-hop, and rock, and features guest appearances from Travis Scott, Pharrell Williams, and Willow Smith. The album received positive reviews from fans and critics, who praised its raw and emotional themes, as well as Kid Cudi's unique and authentic approach to music. 'Passion, Pain, & Demon Slayin'' is considered one of Kid Cudi's best works and is a must-listen for fans of alternative hip-hop. ",,,
Passion Pain & Demon Slayin,"Confused (Acoustic One Take)
(prod. Kid Cudi)",Released on Kid Cudi's Soundcloud Cudderland. Mastered Analog Acoustic version.,3:28,Jan 2016,Other,No,https://krakenfiles.com/view/nk3wOadSfj/file.html,
Passion Pain & Demon Slayin,"Goodbye
(prod. Kid Cudi, & Dot Da Genius)","Released on June 24th 2016 by Kid Cudi with Complex. Samples dialogue of Tupac Shakur from the film ""Juice,"" as well as the song ""Goodbye Cruel World"" by Pink Floyd. Possibly a cut track due to sample issues.",4:26,Jun 2016,Throwaway,No,https://krakenfiles.com/view/KaAZl0cpkp/file.html,
Passion Pain & Demon Slayin,"Surfin'
(prod. Pharrell Williams) (feat. Pharrell Williams)","Released as a Single. Track 19 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Pharrell Williams. Recorded by Anthony Kilhoffer, Thomas Cullison, & Mike Larson. Recording Assisted by Ben Sedano, Eric Eylands, & David Kim. Mixed by Mick Guzauski. Electric Guitar by Brent Paschke. Horn Section Orchestration & Arrangement by Steven Velez, & Jim McMillen. Horn Section Conducted by Steven Velez. Trumpets by Dan Fornero, & Rob Schaer. Trombone by Steve Trapani. Tuba by Doug Tornquist. Mastered by Tom Coyne, & Randy Merrill.",3:58,Sep 2016,Single,Yes,https://open.spotify.com/track/3f2k8op0nWDoZM4pXim6wG?si=4b447e3b147841b9,
Passion Pain & Demon Slayin,"Frequency
(prod. Kid Cudi, Plain Pat, & Mike Dean)","Track 1 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Patrick Reynolds, & Mike Dean. Produced by Kid Cudi, Plain Pat, & Mike Dean. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Mastered by Tom Coyne, & Randy Merrill.",4:58,Dec 2016,Album Track,Yes,https://open.spotify.com/track/0O6jl8Zamz6TGF0nUwMQsF?si=3a649b90448841fe,
Passion Pain & Demon Slayin,"Swim In The Light
(prod. Kid Cudi, & Mike Dean)","Track 2 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Mike Dean. Produced by Kid Cudi, & Mike Dean. Recorded by Tom Kahre. Mixed by Anthony Kilhoffer. Mastered by Tom Coyne, & Randy Merrill.",4:29,Dec 2016,Album Track,Yes,https://open.spotify.com/track/5cjsgbZ8tZYD4f0LNpApnf?si=dbb6bb32b4254aaa,
Passion Pain & Demon Slayin,"Releaser
(prod. Kid Cudi, Plain Pat, & Mike Dean) (feat. Kacy Hill)","Track 3 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Patrick Reynolds, & Mike Dean. Produced by Kid Cudi, Plain Pat, & Mike Dean. Recorded by Anthony Kilhoffer, & Tom Kahre. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Background Vocals by Kacy Hill. Additional Vocals by Vanessa Vasquez. Piano by Danny Pravder. Solo Cello by Steven Velez. Mastered by Tom Coyne, & Randy Merrill.",5:28,Dec 2016,Album Track,Yes,https://open.spotify.com/track/5Tm9At0xeFb0MtlV8uI3eY?si=feafcb0ee19f4727,
Passion Pain & Demon Slayin,"By Design
(prod. Pharrell Williams, & Plain Pat) (feat. Andre 3000 Benjamin)","Track 4 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Pharrell Williams, Andre Benjamin, & Patrick Reynolds. Produced by Pharrell Williams. Additional Production by Plain Pat. Recorded by Anthony Kilhoffer, & Mike Larson. Mixed by Mick Guzauski. Mastered by Tom Coyne, & Randy Merrill.",4:17,Dec 2016,Album Track,Yes,https://open.spotify.com/track/5FxVTEpoBress37MmlMhbZ?si=edc5cb496fb2423e,
Passion Pain & Demon Slayin,"All In
(prod. Mike Will Made It)","Track 5 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Michael Len Williams, & Ashelon Hogan. Produced by Mike Will Made It. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Mastered by Tom Coyne, & Randy Merrill.",4:11,Dec 2016,Album Track,Yes,https://open.spotify.com/track/4HMhDkyOObFngSAz2xeQhK?si=ed3c0e93acaf4faa,
Passion Pain & Demon Slayin,"ILLusions
(prod. Mike Dean)","Track 6 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Mike Dean. Produced by Mike Dean. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Mastered by Tom Coyne, & Randy Merrill.",4:16,Dec 2016,Album Track,Yes,https://open.spotify.com/track/36ltVroxdokt4IVqNh4EEO?si=2689aab4faed4c9f,
Passion Pain & Demon Slayin,"Rose Golden
(prod. Kid Cudi, Plain Pat, & Mike Dean) (feat. Willow Smith)","Track 7 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Patrick Reynolds, & Mike Dean. Produced by Kid Cudi, Plain Pat, & Mike Dean. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer, & Tom Kahre. Orchestration & Arrangement by Steven Velez, & James A. McMillen. Strings Recorded by Adam Michalak. Harp by Alison Bjorkedal. Mastered by Tom Coyne, & Randy Merrill.",4:38,Dec 2016,Album Track,Yes,https://open.spotify.com/track/40jxatV29fk82SAziDsPqN?si=32c3944d8d1a435c,
Passion Pain & Demon Slayin,"Baptized In Fire
(prod. Kid Cudi, Plain Pat, & Mike Dean) (feat. Travis Scott)","Track 8 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Patrick Reynolds, Mike Dean, Jacques Webster, & Mort Garson. Produced by Kid Cudi, Plain Pat, & Mike Dean. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Mastered by Tom Coyne, & Randy Merrill. Contains elements of ""Deja Vu"" by Ataraxia.",4:46,Dec 2016,Album Track,Yes,https://open.spotify.com/track/6WSBZroxQaO3FYEpT2ACFH?si=96ec8a13da964922,
Passion Pain & Demon Slayin,"Flight at First Sight/Advanced
(prod. Pharrell Williams) (feat. Pharrell Williams)","Track 9 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Pharrell Williams. Produced by Pharrell Williams. Recorded by Anthony Kilhoffer, Mike Larson, & Thomas Cullison. Recording Assisted by David Kim, Will Delaney, & Keith Parry. Mixed by Mick Guzauski. Mastered by Tom Coyne, & Randy Merrill. Contains elements of ""Campbell Soup Gospel! God Is Mmmmmm Gooood!"" by Leslie Davis.",3:57,Dec 2016,Album Track,Yes,https://open.spotify.com/track/0gnYo3z19PzAVikI7doinv?si=c1fb469ec1684884,
Passion Pain & Demon Slayin,"Does It
(prod. Kid Cudi, Idle, & Anthony Kilhoffer)","Track 10 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Andre L. Patrick Jr. & Anthony Kilhoffer. Produced by Kid Cudi, Idle, & Anthony Kilhoffer. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Programming by Idle Kid. Piano by Danny Pravder. Solo Cello by Steven Velez. Harp by Alison Bjorkedal. Orchestration & Arrangement by Steven Velez, & James A. McMillen. Strings Recorded by Adam Michalak. Mastered by Tom Coyne, & Randy Merrill.",4:23,Dec 2016,Album Track,Yes,https://open.spotify.com/track/1Bta6k7sXqUJfebYppG7Mq?si=544eb906c27a43ad,
Passion Pain & Demon Slayin,"Dance For Eternity
(prod. Kid Cudi, & Plain Pat)","Track 11 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Patrick Reynolds. Produced by Kid Cudi, & Plain Pat. Recorded by Anthony Kilhoffer. Engineered by Anthony Kilhoffer, & Tom Kahre. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Keyboards by Dot Da Genius. Additional Drums by Matthew Byas. Mastered by Tom Coyne, & Randy Merrill.",4:43,Dec 2016,Album Track,Yes,https://open.spotify.com/track/4VOUXdkDN3USHfEtBjCUPS?si=ec0407f95d5148cf,
Passion Pain & Demon Slayin,"Distant Fantasies
(prod. Kid Cudi, & Plain Pat)","Track 12 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Patrick Reynolds. Produced by Kid Cudi, & Plain Pat. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Mastered by Tom Coyne, & Randy Merrill. Contains elements of ""Track 27 from Electric Fields"" by Gerhard Trede Selection.",4:48,Dec 2016,Album Track,Yes,https://open.spotify.com/track/0dBXCFV75G0mdi5fo7eO9v?si=be450ada71674c1d,
Passion Pain & Demon Slayin,"Wounds
(prod. Kid Cudi, Anthony Kilhoffer, & J Gramm)","Track 13 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Julian Gramma, & Anthony Kilhoffer. Produced by Kid Cudi, J Gramm, & Anthony Kilhoffer. Engineered by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Programming by Anthony Kilhoffer, & J Gramm. Mastered by Tom Coyne, & Randy Merrill.",4:04,Dec 2016,Album Track,Yes,https://open.spotify.com/track/5ND2pMuoFVtT0Ocug5A4KT?si=ebb1ba46a2d34705,
Passion Pain & Demon Slayin,"Mature Nature
(prod. Kid Cudi, & Plain Pat)","Track 14 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Patrick Reynolds. Produced by Kid Cudi, & Plain Pat. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Orchestration & Arrangement by Steven Velez, & James A. McMillen. Strings Recorded by Adam Michalak. Associate Contractor by Sandy Kipp. Mastered by Tom Coyne, & Randy Merrill.",3:55,Dec 2016,Album Track,Yes,https://open.spotify.com/track/6fXMuxRTO9vdrsAcbO3X5x?si=a16174b9586b46f5,
Passion Pain & Demon Slayin,"Kitchen
(prod. Kid Cudi, Dot Da Genius, & Plain Pat)","Track 15 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Patrick Reynolds, & Oladipo Omishore. Produced by Kid Cudi, Dot Da Genius, & Plain Pat. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Background Vocals by Jaden Smith. Orchestration & Arrangement by Steven Velez, & James A. McMillen. Strings Recorded by Adam Michalak. Mastered by Tom Coyne, & Randy Merrill.",4:29,Dec 2016,Album Track,Yes,https://open.spotify.com/track/0Jcij1eWd5bDMU5iPbxe2i?si=161be77f59d2472c,
Passion Pain & Demon Slayin,"Cosmic Warrior
(prod. Dot Da Genius)","Track 16 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Oladipo Omishore. Produced by Dot Da Genius. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Harp by Alison Bjorkedal. Orchestration & Arrangement by Steven Velez, & James A. McMillen. Strings Recorded by Adam Michalak. Mastered by Tom Coyne, & Aya Merrill.",4:01,Dec 2016,Album Track,Yes,https://open.spotify.com/track/3uEBYVUzx2aft489ui6Nmi?si=f5b9cb2570414e0d,
Passion Pain & Demon Slayin,"The Guide
(prod. Kid Cudi, Dot Da Genius, & Plain Pat) (feat. Andre 300 Benjamin)","Track 17 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Oladipo Omishore, Andre Benjamin, & Patrick Reynolds. Produced by Kid Cudi, Dot Da Genius, & Plain Pat. Recorded by Anthony Kilhoffer. Mixed by Anthony Kilhoffer. Engineered for Mix by Anthony Kilhoffer. Mastered by Tom Coyne, & Randy Merrill.",5:06,Dec 2016,Album Track,Yes,https://open.spotify.com/track/62Mre4mWZkOGjau4UQtFUV?si=f87e8a7f49384f37,
Passion Pain & Demon Slayin,"The Commander
(prod. Kid Cudi, Plain Pat, & Mike Dean)","Track 18 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, Patrick Reynolds, & Mike Dean. Produced by Kid Cudi, Plain Pat, & Mike Dean. Recorded by Anthony Kilhoffer. Mixed by Thomas Cullison. Additional Keys by Mike Dean. Mastered by Tom Coyne, & Randy Merrill.",4:16,Dec 2016,Album Track,Yes,https://open.spotify.com/track/7iqsSrwZqc8vpdvbyK74pQ?si=e3594ce8afbe4f59,
Passion Pain & Demon Slayin,"Surfin
(prod. Pharrell Williams) (feat. Pharrell Williams)","Track 19 from Kid Cudi's 2016 album Passion, Pain, & Demon Slayin. Written by Scott Mescudi, & Pharrell Williams. Produced by Pharrell Williams. Recorded by Anthony Kilhoffer, Thomas Cullison, & Mike Larson. Recording Assisted by Ben Sedano, Eric Eylands, & David Kim. Mixed by Mick Guzauski. Electric Guitar by Brent Paschke. Horn Section Orchestration & Arrangement by Steven Velez, & Jim McMillen. Horn Section Conducted by Steven Velez. Trumpets by Dan Fornero, & Rob Schaer. Trombone by Steve Trapani. Tuba by Doug Tornquist. Mastered by Tom Coyne, & Randy Merrill.",6:15,Dec 2016,Album Track,Yes,https://open.spotify.com/track/1uHb5qa69lHLcFT38fIfUG?si=59157067694d4e3b,
Passion Pain & Demon Slayin,"Kanye West - Father Stretch My Hands Pt. 1 [V2]
(feat. Kid Cudi)","Updated version of the song ""Father Stretch My Hands, Pt. 1"" that adds background vocals both to the end of Kanye’s verse and on the hook, as well as making the snare more quiet. Track 2 from Kanye West's 2016 album The Life of Pablo. Features keyboards and Moog from Mike Dean. Written by Kanye West, Malik Yusef, Jerome LOL, Samo Sound Boy, Mike Dean, Kid Cudi, Cyhi the Prynce, Allen Ritter, Chance the Rapper, and Pastor T.L. Barrett. Mixed by Kez Khou, Noah Goldstein, and Manny Marroquin. Mastered by Mike Dean. Engineered by Tom Kahre, William J. Sullivan, Joey Galvan, David Moses, Kimberly Katz, Brendan Morawski, Sean Klein, Kyle Resto, Zeke Mishanec, Kez Khou, Jordon Heskett, Tristan Bott, Brandon Wood, David Covell, Johnnie Burik, Eric Lynn, Mike Dean, Noah Goldstein, Anthony Kilhoffer, and Andrew Dawson. Samples the songs ""Father Stretch My Hands"" by Pastor T.L. Barrett and ""Jumpman"" by Drake & Future.",2:16,Feb 2016,Feature,Yes,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8?si=db24537f688c4b49,
Passion Pain & Demon Slayin,"Kanye West - Waves [V2]
(feat. Kid Cudi, & Chris Brown)","Updated version of the song ""Waves"" with a re-recorded first verse from Kanye, added echos, and a louder snare. Track 10 from Kanye West's 2016 album The Life of Pablo. Written by Kanye West, Malik Yusef, Kid Cudi, Mike Dean, Cyhi the Prynce, Chance the Rapper, Metro Boomin, Hudson Mohawke, Chris Brown, Tony Williams, Elon Rutberg, Fonzworth Bentley, Fab 5 Freddy, Master Rob, Kevie Kev, Grand Wizard Theodore, Darryl Mason, and Prince Whipper Whip. Mixed by Kez Khou, Andrew Dawson, and Manny Marroquin. Mastered by Mike Dean. Engineered by Tom Kahre, William J. Sullivan, Joey Galvan, David Moses, Kimberly Katz, Brendan Morawski, Sean Klein, Kyle Resto, Zeke Mishanec, Kez Khou, Jordon Heskett, Tristan Bott, Brandon Wood, David Covell, Johnnie Burik, Eric Lynn, Noah Goldstein, Andrew Dawson, Anthony Kilhoffer, and Mike Dean. Samples the song ""Fantastic Freaks At The Dixie"" by Grand Wizard Theodore & The Fantastic 5.",3:02,Feb 2016,Feature,Yes,https://open.spotify.com/track/3nAq2hCr1oWsIU54tS98pL?si=f74c28d3275d400e,
Passion Pain & Demon Slayin,"Travis Scott - way back
(prod. Hit-Boy, Honorable C.N.O.T.E., Cashmere Cat, Mike Dean, & Rogét Chahayed) (feat. Kid Cudi)","Track 2 from Travis Scott's 2016 album Birds In the Trap Sing McKnight. Written by Jacques Webster, Scott Mescudi, Chauncey Hollis, Jr, Carlton Mays, Magnus August Hoiberg, Brittany Hazzard, Larry Jacks, Jr. Kasseem Dean, Mike Dean, & Roget, Chahayed. Recorded by Jordan Lewis. Additional Engineering and Arrangement by Todd Cooper. Mixed by Mike Dean. Guitars by Mike Dean. Additional Vocals by Scott Mescudi, & Swizz Beatz. ",4:32,Sep 2016,Feature,Yes,https://open.spotify.com/track/2Zy7XVdxyZQB8xp5xbpJdl?si=cb95131f80b74392,
Passion Pain & Demon Slayin,"Travis Scott - through the late night
(prod. Cubeatz, & Cardo) (feat. Kid Cudi)","Track 4 from Travis Scott's 2016 album Birds In the Trap Sing McKnight. Written by Jacques Webster, Scott Mescudi, Oladipo Omishore, Ronald LaTour, Tim Gomringer, & Kevin Gomringer. Recorded by Zeke Mishanec. Assisted by Brendan Silas Parry. Mixed by Mike Dean. Contains a portion of ""Day N Nite"" by Kid Cudi.",4:46,Sep 2016,Feature,Yes,https://open.spotify.com/track/1Ci4wASMY4xtKVMeHA6Sd5?si=4e08311d99a94f72,
,"KIDS SEE GHOSTS
(Collaboration with Kanye West)
(Everybody Wins)","(12/??/2016) (Kid Cudi, Kanye West, and other frequent collaborators start production at West's house)
(06/08/2018) ('Kids See Ghosts' officially releases)
(2016-2018)",,,"Out of the five Wyoming projects from 2018, people consider ""KIDS SEE GHOSTS"" to be one of the best. This album focuses heavily on overcoming struggles caused by mental health, which Kanye and Cudi had been fighting. It is characterized by many psychedelic and rock-influenced elements, making for an album that sounds like nothing else. This album was officially released on June 8th, 2018, making it Kanye's second collab album.                        ",,,
KIDS SEE GHOSTS,"The Rage
(Prod. Ben Billions, Dot Da Genius, & Infamous) (Performed by Kid Cudi)","Track 24 from Rampage The Soundtrack. Written by Scott Mescudi, & William Corgan. Engineered by William J. Sullivan, Andy Dudman, & Ben Diehl. Contains a sample from the song ""Bullet With Butterfly Wings"" by Smashing Pumpkins. Mastered by Mile Showell.",4:22,Apr 2018,Single,Yes,https://open.spotify.com/track/5wIjwRqccDVd82TUPYFh3c?si=eb6a127660844849,
KIDS SEE GHOSTS,"Feel The Love
(prod. Kanye West, Benny Blanco, Mike Dean, Plain Pat, Evan Mast, Justin Vernon, Francis & The Lights, Cashmere, & Noah Goldstein) (feat. Pusha T)","Track 1 from KIDS SEE GHOSTS' 2018 album KIDS SEE GHOSTS. Written by Kid Cudi, Mike Dean, Kanye West, & Evan Mast. Mixed by Mike Dean, Sean Solymar, & Jess Jackson. Engineered by Mike Dean, Sean Solymar, Zack Djurich, William J. Sullivan, Noah Goldstein, & Mike Malchicoff. Samples the song ""Waves"" by Velvet Negroni.",2:45,Jun 2018,Album Track,Yes,https://open.spotify.com/track/3aUFrxO1B8EW63QchEl3wX?si=f86bb29656e04030,
KIDS SEE GHOSTS,"Fire
(prod. Kanye West, Kid Cudi, BoogzDaBeast, Andre 3000, & Evan Mast)","Track 2 from KIDS SEE GHOSTS' 2018 album KIDS SEE GHOSTS. Written by Kid Cudi, Kanye West, & Evan Mast. Mixed by Mike Dean, Sean Solymar, & Jess Jackson. Engineered by Mike Dean, Sean Solymar, Zack Djurich, William J. Sullivan, Noah Goldstein, & Mike Malchicoff. Samples the song ""They're Coming to Take Me Away, Ha-Haaa!"" by Napoleon XIV.",2:21,Jun 2018,Album Track,Yes,https://open.spotify.com/track/7oHkit3F3vimtsBbnZkU0G?si=819754eac66f4a5d,
KIDS SEE GHOSTS,"4th Dimension
(prod. Kanye West, Mike Dean, & Noah Goldstein) (feat. Louis Prima)","Track 3 from KIDS SEE GHOSTS' 2018 album KIDS SEE GHOSTS. Written by Kid Cudi, Mike Dean, Kanye West, & Louis Prima. Mixed by Mike Dean, Sean Solymar, & Jess Jackson. Engineered by Mike Dean, Sean Solymar, Zack Djurich, William J. Sullivan, Noah Goldstein, & Mike Malchicoff. Samples the songs ""Someday"" by Shirley Ann Lee and ""What Will Santa Claus Say (When He Finds Everybody Swingin')"" by Louis Prima. Interpolates the song ""Make ’Em Say Uhh!"" by Master P.",2:33,Jun 2018,Album Track,Yes,https://open.spotify.com/track/6JyEh4kl9DLwmSAoNDRn5b?si=3d9d8f545f5a4727,
KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)
(feat. Ty Dolla $ign)","Track 4 from KIDS SEE GHOSTS' 2018 album KIDS SEE GHOSTS. Written by Kid Cudi, Mike Dean, Kanye West, Ty Dolla $ign, Jeff Bhasker, & Corin Littler. Mixed by Mike Dean, Sean Solymar, & Jess Jackson. Engineered by Mike Dean, Sean Solymar, Zack Djurich, William J. Sullivan, Noah Goldstein, & Mike Malchicoff. Samples the song ""Stark"" by Mr. Chop. Interpolates the songs ""Ghost Town"" by Kanye West, ""Lift Yourself"" by Kanye West, and ""Speech on Trial and Persecution"" by Marcus Garvey.",3:27,Jun 2018,Album Track,Yes,https://open.spotify.com/track/7GRTrWsP3yo2Fx8umJfA1X?si=fda77575413c459a,
KIDS SEE GHOSTS,Reborn,"Track 5 from KIDS SEE GHOSTS' 2018 album KIDS SEE GHOSTS. Also released as a single the same year. Written by Kid Cudi & Evan Mast. Mixed by Mike Dean, Sean Solymar, & Jess Jackson. Engineered by Mike Dean, Sean Solymar, Zack Djurich, William J. Sullivan, Noah Goldstein, & Mike Malchicoff.",5:25,Jun 2018,Album Track,Yes,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT?si=fa0ceba10fad4c80,
KIDS SEE GHOSTS,"Kids See Ghosts
(feat. Yasiin Bey)","Track 6 from KIDS SEE GHOSTS' 2018 album KIDS SEE GHOSTS. Written by Kid Cudi, Kanye West, & Yasiin Bey. Mixed by Mike Dean, Sean Solymar, & Jess Jackson. Engineered by Mike Dean, Sean Solymar, Zack Djurich, William J. Sullivan, Noah Goldstein, & Mike Malchicoff.",4:05,Jun 2018,Album Track,Yes,https://open.spotify.com/track/2I3dW2dCBZAJGj5X21E53k?si=b1d27b93e12d4207,
KIDS SEE GHOSTS,Cudi Montage,"Track 7 from KIDS SEE GHOSTS' 2018 album KIDS SEE GHOSTS. Written by Kid Cudi, Mike Dean, & Kanye West. Mixed by Mike Dean, Sean Solymar, & Jess Jackson. Engineered by Mike Dean, Sean Solymar, Zack Djurich, William J. Sullivan, Noah Goldstein, & Mike Malchicoff. Samples the song ""Burn the Rain"" by Kurt Cobain. Interpolates the song ""One Love"" by Nas.",3:17,Jun 2018,Album Track,Yes,https://open.spotify.com/track/4kUZvXB3LC3an3HX6h0s17?si=10c1c669e5bf4699,
KIDS SEE GHOSTS,"A$AP Rocky - A$AP Forever REMIX
(prod. A$AP Rocky, Hector Delgado, & Jordie X) (feat. Kid Cudi, T.I., & Moby)","Track 2 from A$AP Rocky's 2018 album Testing. Written by Rakim Mayers, Scott Mescudi, & Richard Melville Hall. Recorded by Hector Delgado, & Sam Houselander. Mixed by Hector Delgado. Assisted by Barry McCreedy. Additional Vocals by Khloe Anna. Mastered by Dave Kutch. Executive produced by A$AP Rocky. Co-executive produced by Hector Delgado, Juicy J, Chace Johnson, & AWGE. Contains a sample of the song ""Porcelain"" by Moby.",5:16,Mar 2018,Feature,Yes,https://open.spotify.com/track/3oHkMCVJyOcjg5FhfLc2Rq?si=a61c34f484ae4165,
KIDS SEE GHOSTS,"Kanye West - No Mistakes
(feat. Kid Cudi, & Charlie Wilson)","Track 5 from Kanye West's 2018 album ye. Written by Kanye West, Mike Dean, Malik Yusef, Terrence Boykin, Kenneth Pershon, Cydel Young, Che Pope, Edwin Hawkins, and RICKY WALTERS. Mixed by Mike Dean and Jess Jackson. Engineered by Mike Dean, Mike Malchicoff, Zack Djurich, Sean Solymar, and William J. Sullivan. Samples the songs ""Children Get Together"" by The Edwin Hawkins Singers and ""Hey Young World"" by Slick Rick. Interpolates the song ""Touch the Sky"" by Kanye West.",2:03,Jun 2018,Feature,Yes,https://open.spotify.com/track/35KV2Nuib6jPMVN00O8iba?si=1beabc18e7b04de1,
KIDS SEE GHOSTS,"Kanye West - Ghost Town (Pt. 1)
(feat. Kid Cudi, John Legend, & 070 Shake)","Track 6 from Kanye West's 2018 album ye. Written by Kanye West, Mike Dean, Malik Yusef, Terrence Boykin, Kenneth Pershon, Cydel Young, Dexter Mills, Francis Starlite, Jordan Thorpe, Danielle Balbuena, Noah Goldstein, Jahron Brathwaite, Carole Bayer Sager, Trade Martin, Carmen Reece, and Shirley Ann Lee. Mixed by Mike Dean and Jess Jackson. Engineered by Mike Dean, Mike Malchicoff, Zack Djurich, Noah Goldstein, and Mauricio Iragorri. Samples the songs ""Take Me for a Little While"" by Vanilla Fudge and ""Someday"" by Shirley Ann Lee.",4:31,Jun 2018,Feature,Yes,https://open.spotify.com/track/7vgTNTaEz3CsBZ1N4YQalM?si=2e5eb35181154726,
,Entergalactic [V1],"(6/08/2018) ('Kids See Ghosts' releases and Cudi begins working on other projects.)
(??/??/19) (Kid Cudi makes ""2 or 3"" songs that don't fit the current projects and creates 'Man On The Moon III')
(2018-2019)",,,"Not a lot is known around this time; however, on July 22nd, 2019, Cudi announced 'Entergalactic' along with the show, expecting a 2020 release. This would get delayed for various reasons, but Cudi would go on to state he finished 'Entergalactic' in 2019/2020. We do not know how much this changed from the 2022 release. It may be worth noting near the end of this era Travis Scott and Kid Cudi were working on 'THE SCOTTS'.",,,
Entergalactic [V1],"Travis Scott - STOP TRYING TO BE GOD
(prod. Travis Scott, Mike Dean, Jbeatzz, & Cubeatz) (feat. Kid Cudi)","Track 5 from Travis Scott's 2018 album Astroworld. Written by Jacques Webster, James Blake, Mike Dean, Kevin Gomringer, Tim Gomringer, & Joshua Adams. Vocals by Philip Bailey of Earth, Wind, & Fire, & James Blake. Additional Vocals by Kid Cudi, & BJ The Chicago Kid. Recorded by Zach Steele. Mixed by Travis Scott, & Mike Dean. Assisted by Sean Solymar, & Jimmy Cash. Harmonica by Stevie Wonder.",5:38,Aug 2018,Feature,Yes,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg?si=68a1301d3d0b4771,
Entergalactic [V1],"Quavo - LOST
(prod. Mike Almighty, Joseph Davinci, Dot Da Genius, Kid Cudi, & Quavo) (feat. Kid Cudi)","Track 19 from Quavo's 2018 album Quavo Huncho. Written by Quavious Marshall, Scott Mescudi, Oladipo Omishore, Lorenzo Gibson Mills, & Joseph Davinci. Mixed by Thomas ""Tillie"" Mann. Assistant Mix Engineer by Princston ""Perfect Harmony"" Terry. Keyboards, Additional Vocals, and Various Instruments recorded at Blueprint Studios, Manchester, UK. Mastered by Colin Leonard. Executive produced by Pierre ""Pee"" Thomas, Kevin ""Coach K"" Lee, & Quavo.",4:38,Oct 2018,Feature,Yes,https://open.spotify.com/track/2H5CLUmtvo2VHEeWzMtUqW?si=710ad3fa2e774af8,
