Era,Name,Notes,Copy Length,File Date,Available Length,Quality,Link(s)
BULLY [V1],BULLY [IRKO Mixes],Copy fully mixed by IRKO.,,Nov 2024,OG File,Lossless,https://imgur.gg/f/ZfycJfY
BULLY [V1],BULLY,"December copy of the album. Rearranges the tracklist and adds ""Losing Your Mind"" and ""Melrose"".",29:28,"Dec 23, 2024",Full,CD Quality,https://pillows.su/f/45c4288534f869cd3426dc639f663a9c
BULLY [V1],BULLY,"OG Filename: SAVE COPIES OF BULLY
January copy of the visual album. Folder opened by DJ Fai on a stream with Ty Dolla $ign after the chat asked him to play ""This One Here"". Files have a modification date of February, although the filenames for ""This One Here"" state it was made in January.",,Jan 2025,Confirmed,Not Available,
BULLY [V1],BULLY,Copy played to The Legendary Traxster in February 2025.,,Feb 2025,Confirmed,Not Available,https://www.youtube.com/shorts/_VftUqoievw
,"CUCK
(CUKKK, WW3)","(02/??/2025) (Ye and Dave Blunts meet for the first time)
(05/21/2025) (""HIT SYMPHONY"" is released on DSPs, and Ye's direction for the album's sound shifts)
(06/22/2025) (Ye announces the name change to IN A PERFECT WORLD)",,,"On March 6th, 2025, Ye tweeted, ""this next album got that antisemitic sound"" and ""my new sound called antisemitic"". This would mark a shift in Ye's soundscape, as his antisemitic ideas had been mostly contained to his Twitter at that time, besides a few one-off remarks about Jews on the VULTURES albums. On March 16th, 2025, Ye would tweet an image of a red swastika against a black background, declaring it as a ""NEW ALBUM COVER"". On April 2nd. 2025, DJ Akademiks would post a series of Tweets that eventually led to the announcement of a new album titled WW3, separating this project from BULLY.  ",,
CUCK,"WW3 [Dave Blunts Reference Tracks 1]
(ref. Dave Blunts)","OG Filename: March 13 Dave Songs 4 Ye
Earlier copy with Dave Blunts' reference tracks. Filename seen on Dave's laptop during a Discord livestream.",,"Mar 13, 2025",Confirmed,Not Available,
CUCK,"WW3 [Dave Blunts Reference Tracks 2]
(ref. Dave Blunts)","Album copy containing the majority of Dave Blunts' reference tracks for CUCK. Dated March 28th, 2025, though most references were made prior.",,"Mar 28, 2025",Confirmed,Not Available,
CUCK,WW3,"OG Filenames: WW3 &
YE_WW3
Work folder mentioned in the metadata for several Logic Pro sessions. Mostly consists of stems, session files, and early mixes. Confirmed to have ""COUSINS"", ""HITLER YE JESUS"", ""JARED"", and ""WW3"". ""YE_WW3"" is potentially a different folder and not a rename.",,Apr 2025,Confirmed,Not Available,
CUCK,CUCK,"Heavily passed CUCK copy owned by several people, most notably Azealia Banks. Only known tracks are ""COSBY"" and ""DIRTY MAGAZINES"", but most tracks from other copies are likely on it.",,Apr 2025,Confirmed,Not Available,
CUCK,CUCK V2,"OG Filename: CUCK V2
iTunes tracklist posted by Ye to Twitter April 28th, 2025. With the exception of ""COSBY"" and ""COUSINS"", all versions of songs used on this copy have leaked.",24:53,"Apr 28, 2025",Confirmed,Not Available,https://ibb.co/Dfzc7qN2
CUCK,"CUCK
(prod. 88-Keys)","Folder with alternate production from 88-Keys, mentioned during a February 2026 Digital Nas livestream.",,Apr 2025,Confirmed,Not Available,
CUCK,"CUCK
(prod. Che Pope)","Folder with alternate production from Che Pope, mentioned during a February 2026 Digital Nas livestream.",,Apr 2025,Confirmed,Not Available,
CUCK,"CUCK
(prod. ???)","Copy with alternate production from an unknown keytarist. Dated sometime around April 29th, 2025, as that's when the final keytar version was made. According to crave, no sequenced version exists. Unknown if every version from this copy has since leaked.",,"Apr 29, 2025",Partial,CD Quality,https://workupload.com/file/T2SSrJyZZPf
CUCK,CUCK,"Album copy for the blind groupbuy version of CUCK. According to the seller, the copy is from about 2 weeks ago (as of May 19th, 2025). Most OG files leaked January 18th, 2026, with the latest file date being April 30th, 2025.",30:12,"Apr 30, 2025",Full,CD Quality,https://pillows.su/f/47fd7a5c0ef2a1e39ce8aa751ab72c90
CUCK,"CUCK
(prod. The Legendary Traxster)","Folder with alternate production from Traxster, mentioned during a February 2026 Digital Nas livestream.",,May 2025,Confirmed,Not Available,
CUCK,"CUCK [CyHi Reference Tracks]
(ref. CyHi)","Copy with 14 of CyHi's reference tracks, said to exist by crave (Elijah).",,,Rumored,Not Available,
CUCK,"CUCK / DONDA 2
(ref. Rasta Tahj)","OG Filename: YE References
Rasta Tahj's personal [untitled] playlist for reference tracks he made for Ye. Known to include ""ALL THE LOVE"" and ""FIRST TIME IN A LONG TIME"", which both feature co-writing from Really Doe.",,,Confirmed,Not Available,
,"DONDA 2 (2025)
(PABLO 2)","(03/??/2024) (Traxster talks to Mike Dean in a leaked phone call about putting Donda 2 on DSPs)
(04/29/2025) (The 2025 version of DONDA 2 is officially released onto DSPs)
(02/13/2026) (The 2025 version of DONDA 2 receives its last update)",,,"After releasing Donda 2 via the Stem Player in 2022, Ye would eventually move onto other projects. However, the project never left his mind, with some songs continuing to be considered in the Vultures era. 2025 would see Ye enter a new era of creative fuel, once again working on multiple projects at once. With plans to release BULLY and CUCK, Ye also spoke of plans to ""officially"" release Donda 2, repeatedly saying he planned to rerecord verses and upload a ""finished"" version of the album. ",,
DONDA 2 (2025),DONDA 2 [IRKO Mixes],"OG Filename: D2
Album copy fully mixed by IRKO using the Stem Player stems (excluding ""WE DID IT KID""). Most notable changes are to ""FLOWERS"" having autotune and ""SECURITY"" having delay on the vocals at 0:38. Uploaded to Too Lost's backend on November 22nd, 2024.",,"Nov 9, 2024",Full,Lossless,https://imgur.gg/f/E4rKePJ
DONDA 2 (2025),DONDA 2 [Release V1],Initial release copy of DONDA 2.,,"Apr 29, 2025",Full,Lossless,https://pixeldrain.com/u/aKP2A6o6
DONDA 2 (2025),DONDA 2 [Release V1.1],"Second release copy of DONDA 2. Adds ""JESSE"" and ""SUZY"". ""LORD LIFT"" is renamed to ""LORD LIFT ME UP"", ""FIRST TIME"" is renamed to ""FIRST TIME IN A LONG TIME"", and ""MR MIAGI"" is renamed to ""MR MIYAGI"" and has a different intro. ""HAPPY"" has an AI Ye verse and is shorter. ""LOUIE BAGS"" Has added AI Ye verses, updated drums, and more delay on the intro.",,"May 1, 2025",Full,Lossless,https://pixeldrain.com/u/PEuW77c3
DONDA 2 (2025),DONDA 2 [May 2 Copy],"Copy of DONDA 2 from May 2nd, 2025. Likely made for the Scrybe release of the album, as this copy adds ""CITY OF CHI"", which was originally exclusive to the platform. Leaked May 9th, 2025, as a bonus for the failed ""Pre-2016 Many Wanted Songs"" groupbuy.",,"May 2, 2025",OG File,Lossless,https://pixeldrain.com/u/uPa3G354
DONDA 2 (2025),DONDA 2 [Release V1.2],"Third release copy of DONDA 2. Adds ""CITY OF CHI"". ""FIRST TIME IN A LONG TIME"" has updated AI vocals.",,"May 10, 2025",Full,Lossless,https://pixeldrain.com/u/g3iTS7Ws
DONDA 2 (2025),DONDA 2 [Release V1.3],"Fourth release copy of DONDA 2. Removes the DJ Akademiks intro from ""SECURITY"".",,"Jun 6, 2025",Full,Lossless,https://pixeldrain.com/u/BbnVMwG4
DONDA 2 (2025),DONDA 2 [Release V1.4],"Fifth release copy of DONDA 2. Removes the vocal sample from ""FLOWERS"".",,"Feb 13, 2026",Full,Lossless,
,"IN A PERFECT WORLD
(CUCK [V2])","(06/22/2025) (Ye announces the name change to IN A PERFECT WORLD)
(01/16/2026) (Hassan Khaffaf drops THE SECOND COMING, which contains many songs used during the era. IN A PERFECT WORLD is presumably scrapped)",,,"After taking to Twitter in May 2025 to ""denounce"" his antisemitism, Ye would go return to being mostly absent from social media/public eye. Around this same time, he and Bianca would admit themselves into a wellness retreat, with Bianca posting a snippet to her Instagram of Ye in his DROAM-ified home, backed by a new song that suggested a possible return/shift to religious themes once again. In late-June, Ye would announce another album name change to ""In A Perfect World"".",,
IN A PERFECT WORLD,CUCK,"Copy from November 2025 that, oddly enough, still uses the name CUCK. Known to include ""BEHOLD"", ""DAMN"", ""SHE LOVES YE N JESUS"", ""PERFECT WORLD"", and other tracks.",,Nov 2025,Rumored,Not Available,
,BULLY [V2],"(03/18/2025) (Ye leaks the BULLY visual albums and says he will record over the AI)
(03/28/2026) (BULLY releases)
(06/19/2026) (BULLY - DELUXE officialy releases)",,,"After leaking the BULLY V1 visual albums on Twitter, Ye would promise to record over all the album's AI vocals. Throughout 2025, Ye would continue working on the album while teasing numerous release dates that would come and go. On June 20th, 2025, three singles would drop for the album, alongside two more dropping the following week; only one of these songs did not contain AI, being the previously unheard ""DAMN"". Later in 2025 into early 2026, YEEZY and its associates would repeatedly claim the album was now fully recorded, and that no AI would be used on its release. The album would finally drop on March 28th, 2026 with YEEZY only being partially truthful as some songs still contained AI, most prominent on the second half of the album.",,
BULLY [V2],BULLY,"Copy intended to be released on streaming July 25th, 2025.",,Jun 2025,OG File,Lossless,https://pixeldrain.com/u/7hfuDQBA
BULLY [V2],BULLY,"Copy for the original release of the album on cassettes, CDs, and vinyls. Ripped from the vinyl a few days before the album dropped, with the OG files leaking the same day as the streaming release. Manufactured sometime in November-December 2025, with November 2025 being the latest filedate of any song. Remarketed by gamma as ""BULLY V1 LIMITED EDITION COLLECTOR'S VINYL"" after the digital album released.",30:12,Nov 2025,OG File,Lossless,https://pixeldrain.com/u/adg21ows
BULLY [V2],BULLY [Los Angeles Listening Party],"Copy played during the Los Angeles listening party for BULLY. Has slight differences compared to release, excluding the missing tracks.",,"Mar 27, 2026",Full,High Quality,https://workupload.com/file/PWXQtThYCLZ
BULLY [V2],BULLY,"Copy of the March 28th streaming version found on Vydia's backend, leaked the same day as its release. Identical to the version on streaming, except ""PREACHER MAN"" is incorrectly exported and has an extra 3 minutes of silence. All files have leftover metadata, and roughly half retain their OG filenames with incorrect stylization. Also includes the music video for ""FATHER"".",46:20,"Mar 28, 2026",OG File,Lossless,https://pixeldrain.com/u/CWHL75qZ
BULLY [V2],BULLY,"OG Filename: BULLY DIGITAL
Copy sent out through email on March 31st, 2026, to those who previously bought the digital album. Identical to the version above, but without metadata and the ""FATHER"" music video.""PREACHER MAN"" is properly exported, with the minutes of silence cut out.",42:35,"Mar 28, 2026",OG File,Lossless,https://imgur.gg/f/kYnDnMK
BULLY [V2],BULLY - DELUXE,"Copy of OG files for the deluxe edition of BULLY. Leaked June 25th, 2026.",46:56,"Jun 19, 2026",OG File,Lossless,https://imgur.gg/f/E5uXSJc
