Era,Name,"Notes
Join our discord server here  (LINK RE-UPd)
And our telegram channel here",Track Length,Release Date,Type,Streaming,Link(s)
MUSIC [V3],"✨ WE NEED ALL DA VIBES [V4]
(with Young Thug & Ty Dolla $ign) (prod. Wheezy, Dez Wright & BBYKOBE)
(Vibing, Vibin, South Atlanta)","OG Filename: 20.VIBING MASTERED ALREADY
Track 21 on ""MUSIC""
Reuses Young Thug 2021 song ""Vibing"", originally featuring Gunna. His verse was cut and replaced with Ty Dolla $ign's. According to Ye, Ty's verse was recorded in the same session as his own song ""Wheels Fall Off"", and all three of them were in attendance.",3:01,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/4XcZp2xqbiD8YsnPboNUDo?si=717093707d2b4534
MUSIC [V3],"⭐ OLYMPIAN
(prod. Clif Shayne, DJ Moon & Nick Spiders)","OG Filename: 22OLYMPIAN
Track 22 on ""MUSIC""
An extra verse was cut for this released version.",2:54,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/4uoADk7q83CHvXHW3k1etM?si=20fe48c849a644d4
MUSIC [V3],"⭐ OPM BABI
(prod. Clayco, Opm Babi & Streo)
(00B)","OG Filename: 22 00B volta master v.1
Track 23 on ""MUSIC""
An ode to the cofounder and creative director of Opium, and Carti's old friend, opiumbaby. Was said to initially feature Lil Uzi Vert & Destroy Lonely, with their verses being removed for the release version.",2:53,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/76yJsfb1CUy5Um8nFL7jKQ?si=b64c5b9b1d504d9b
MUSIC [V3],"TWIN TRIM
(with Lil Uzi Vert) (prod. KP Beatz & Rok)
(SWERVIN)","OG Filename: 24 SWERVIN MASTER FINAL
Track 24 on ""MUSIC""
Carti did actually tease it as an interlude, right before the album's release. A version with a verse from Carti, is rumored to exist.",1:34,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/3surY3LebvLLdJezmiKUBO?si=9fa4eb29430b404e
MUSIC [V3],"⭐ LIKE WEEZY
(prod. Kelvin Krash & Ojivolta)
(RICH KIDZ, Buddha Man)"," OG Filename: 16. RICH KIDZ
Track 25 on ""MUSIC""
Track samples ""Bend Over"" by Rich Kidz, featuring Sayy.",1:55,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/4zK082ykqJzJGzC64NXjp1?si=5fc72de0d0e1461e
MUSIC [V3],"DIS 1 GOT IT
(prod. F1LTHY, Lukrative, Malik Ninety Five & Shades)
(MOLLY PERKYS)","OG Filename: 26 MOLLY PERKYS MASTER FINAL
Track 26 on ""MUSIC""",2:03,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/4tMhjP02FRQ0KIUUEJ2oGK?si=ad656a4714ea44d8
MUSIC [V3],"WALK [V3]
(prod. Ojivolta, BL$$D & DJH)
(BBYBOI, Money on Top of Money, E PILL)","OG Filename: 27 E PILL volta master v.2
Track 27 on ""MUSIC""
Originally teased on September 1, 2024, in a post from his IG @opium_00pium. Samples ""Sydney"" by Bankroll Fresh.",1:34,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/5Qya13gFXqupr4sSmZMKDg?si=6878fa1cf16f4976
MUSIC [V3],"WALK [V4]
(prod. Ojivolta, BL$$D & DJH)
(BBYBOI, Money on Top of Money, E PILL)","Updated version of WALK that was pressed on the CD version of the album. Contains different mixing, no adlibs and another Swamp Izzo line.",1:32,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/9698147b66ee52c2931812f2570abbf3
MUSIC [V3],"HBA [V3]
(prod. Cardo Got Wings & Onokey)
(H00DBYAIR, Tundra)","OG Filename: 28 HBA (KP)
Track 28 on ""MUSIC""
Has additional production compared to the IG single, but 5 lines were removed/censored. Was originally previewed during one of Carti's walkouts for the VULTURES listening parties.",3:32,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/6q2PbvM9UEig4r8xku7VIb?si=f13f607b099e4d95
MUSIC [V3],"✨ HBA [V4]
(prod. Cardo Got Wings)
(H00DBYAIR, Tundra)","CD rip of H00DBYAIR without the snare rolls. Same as the video/Instagram version, just with a better mix and higher quality.",3:32,"May 23, 2025",Album Track,Exclusive,https://pillows.su/f/2a57a245ae3d0bd70fad54bce21e61d6
MUSIC [V3],"⭐️ OVERLY
(prod. Maaly Raw)
(FRIED)","OG Filename: 29 FRIED MASTER FINAL
Track 29 on ""MUSIC""",1:45,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/5tRylsadMpm8TydUgq7NWj?si=918b97bc2271434d
MUSIC [V3],"✨ SOUTH ATLANTA BABY
(prod. F1LTHY, Ojivolta & DJH)
(REGARDLESS)","OG Filename: 30 REGARDLESS volta master v.1
Track 30 on ""MUSIC""
Outro that samples ""Thin Line Between Love and Hate"" by The Persuaders. Carti used the same sample on ""Living Reckless"".",2:13,"Mar 14, 2025",Album Track,Yes,https://open.spotify.com/track/7cHhlnawdN87aZbjO6LMRN?si=814637611abe4271
MUSIC [V3],"OPM BABI [V2]
(prod. Clayco, Opm Babi & Streo)","Alternate mix with an unheard adlib at the end, used in the music video/visualizer.",2:53,"Mar 16, 2025",Album Track,No,https://www.youtube.com/watch?v=UNAWyLCfhPo
MUSIC [V3],"LIKE WEEZY [Music Video]
(prod. Kelvin Krash & Ojivolta)
(Buddha Man)","Alternate mix of ""LIKE WEEZY"" heard in the official visualizer released to YouTube. The music video claims the title ""Buddha Man,"" but it was most likely re-purposed for the song ""Like Weezy"". ""Buddha Man"" probably refers to a different track entirely.",1:56,"Mar 19, 2025",Album Track,No,"https://youtu.be/C217vygclrk?si=MYdi1xpIJwZE8_90
https://pillows.su/f/d1a888562e1110687b360892e0327377"
MUSIC [V3],"⭐️ DIFFERENT DAY [V3]
(prod. KP Beatz, Ambezza & OUTOFAIR)
(UR THE MOON)","OG Filename: DIFF DAY-2
Track 31 on the Bonus release 'MUSIC - SORRY 4 DA WAIT'
The lead single for music, uploaded to Carti's opium_00pium IG account. Was given the fan name UR THE MOON, as King Bob said that was the name of the song before it dropped, but was later clarified to have never been the name of the song by Carti himself.",2:46,"Mar 25, 2025",Album Track,Yes,https://pillows.su/f/d59d101d1eca3bcc12c8289f23386510
MUSIC [V3],"⭐️ 2024 [V2]
(prod. Earl on the Beat, Ojivolta & Kanye West) 
(Put Em On The News Or Sum)","OG Filename: 2024
Track 32 on the Bonus release 'MUSIC - SORRY 4 DA WAIT'
Released exclusively on YouTube, as the second single from the rollout. This version has a fadeout.",3:29,"Mar 25, 2025",Album Track,Yes,https://music.froste.lol/song/fe6c50351c9372a1c569c625949f4bea/play
MUSIC [V3],"✨ BACKR00MS [V3]
(with Travis Scott) (prod. Cardo Got Wings, Duce & Ojivolta)","OG Filename: Backr00ms 40 final 146bpm
Track 33 on the Bonus release 'MUSIC - SORRY 4 DA WAIT'
Released on YouTube, as the fourth single from the rollout. Different mix than the YT version.",2:40,"Mar 25, 2025",Album Track,Yes,https://music.froste.lol/song/f97eba5e23c7f8045207fd7ce88540c4/play
MUSIC [V3],"⭐️ FOMDJ [V4]
(prod. F1LTHY, Lukrative, Lucian & Ojivolta)
(FUCK ON MY DJ, DEMEAN0UR, G-WAGON, CRASH OUT)","Track 31 on MUSIC - V3 sold on Playboi Carti's official website. Added production, with new synths, and the original extended intro. Music video, and site version have mixing difference from the release version.",3:19,"Mar 25, 2025",Album Track,No,"https://music.froste.lol/song/69149b8064ba967120ee6cb34ab4bc02
"
MUSIC [V3],"FOMDJ [V5]
(prod. F1LTHY, Lukrative, Lucian & Ojivolta)
(FUCK ON MY DJ, DEMEAN0UR, G-WAGON, CRASH OUT)","OG Filename: My DJ Main
Track 34 on the Bonus release 'MUSIC - SORRY 4 DA WAIT'. Mixing differs from the music video and site versions. Has reverb added in some places.",3:20,"Mar 25, 2025",Album Track,Yes,https://open.spotify.com/track/7bO7a1KrtmGNDIOy2u3siZ?si=9ea2c52c05024a3e
,BABY BOI,"(January 2023) The concept of 2 albums dropping back to back is conceived
(March 14, 2025) MUSIC releases on all DSPs
(March 15, 2025) Carti posts a screenshot of the Apple Music charts with the caption ""BABY BOI OTW"" on Instagram.
(March 25, 2025) MUSIC - SORRY 4 DA WAIT releases on all DSPs
(May 21, 2025) ALIVE & SOME MORE release on Instagram
(Ongoing)",,,,,
BABY BOI,"NAV - UNLIMITED [V4]
(feat. Playboi Carti & The Weeknd) (prod. Ojivolta & Twisco)
(ROCK OUT)","Track 5 on NAV's album 'OMW2 REXDALE'.
Reworked version of 'ROCK OUT' with a NAV verse & Weeknd outro replacing Offset's contributions to the song.",3:28,"Mar 28, 2025",Feature,Yes,https://open.spotify.com/track/4j8n7cA99r729g1nAtA6qV?si=b25dc06f79cb4912
BABY BOI,"⭐ Ken Carson - Off The Meter [V2]
(feat. Destroy Lonely, Playboi Carti, DJ Swamp Izzo) (prod. star boy, Outtatown, Gab3 & DJ Moon)","Surprise bonus track on Ken's 2025 album More Chaos released a whole hour after the original album. Most likely recorded in 2022 for Ken's album ""X"".",3:39,"Apr 11, 2025",Feature,Yes,https://open.spotify.com/track/2Y98lEkMVALCXni7o2g28b?si=f9832c31cd314ac9
BABY BOI,"Ye - MR MIYAGI [V1]
(feat. Future & Playboi Carti) (prod. AyoAA & MIKE DEAN)",Track 7 on Donda 2. Censored version. Removed from the first version of Donda 2 after it's release,2:57,"Apr 30, 2025",Feature,No,https://pillows.su/f/bd7796435683a1ca67b60c97a9a31c92
BABY BOI,"🤖 Ye - MR MIYAGI [V2]
(feat. Future & Playboi Carti) (prod. AyoAA & MIKE DEAN)","Track 7 on Donda 2.1. Has an uncensored AI Ye verse replacing his first unfinished one, and later punch ins. Less carti adlibs and no future intro. Now only available on Youtube Music and Tidal",2:57,"Apr 30, 2025",Feature,Exclusive,"https://music.youtube.com/watch?v=DR5Vwxhj-r4&list=OLAK5uy_l2800053WHyvn05p_8-33MXoyyrT0M9-8
https://open.spotify.com/track/6HrKAdPiff0QqjVkNcsQT7"
BABY BOI,"🗑️🤖 The Weeknd - Timeless (Remix)
(feat. Playboi Carti & Doechii) (prod. Pharrell Williams, Ojivolta, Twisco & MIKE DEAN)","Remix made for the promotion of The Weeknd's movie ""HURRY UP TOMORROW"". And yet, his verse was removed for this version, with only his chorus and outro remaining. Features a verse from Doechii for the first part, and Carti's for the second part.",3:48,"May 8, 2025",Feature,Yes,https://open.spotify.com/album/0FWdxPnncm63s91g0PkTvv?si=jTIRv8kQTZKR7iP2cUhojA
BABY BOI,"Travis Scott - WHERE WAS YOU [V2 / First Pressing Version]
(feat. Playboi Carti & Future) (prod. F1LTHY & Glasear)","Lacks the Bun B narrration during the intro, only found on the physical versions of JACKBOYS 2.",4:20,"Jul 13, 2025",Feature,No,https://pillows.su/f/952a877cc107544c496d2a99eb2697fb
BABY BOI,"Travis Scott & Bun B - WHERE WAS YOU [V3]
(feat. Playboi Carti & Future) (prod. F1LTHY & Glasear)","Surprise feature on Cactus Jack's collaborative project ""JACKBOYS 2"". Was first seen in Travis Scott's iCloud files, that showed it was recorded on December 31, 2023, alongside multiple other songs.",4:34,"Jul 13, 2025",Feature,No,https://pillows.su/f/3c0133dbaa380688ea37683e42ee08ef
BABY BOI,"Travis Scott & Bun B - WHERE WAS YOU [V4]
(feat. Playboi Carti & Future) (prod. F1LTHY & Glasear)"," Updated version of ""WHERE WAS YOU"", Future's vocals are louder.",4:33,"Jul 17, 2025",Feature,Yes,https://open.spotify.com/intl-es/track/26N5kAVhlqFOWAkuMQ5Kwe
BABY BOI,"✨ YoungBoy Never Broke Again - Fire Your Manager
(feat. Playboi Carti) (prod. KC Da Beatmonster, AYE SHARK! & Gateway)","Track 5 on ""MASA"". Likely recorded during 2025 due to featuring a similiar voice to ""SOME MORE"". This marks the first official collaboration between Playboi Carti and NBA Youngboy.",3:53,"Jul 24, 2025",Feature,Yes,https://open.spotify.com/track/3kdAWcII7Co6Lv9Rw1pbIo
BABY BOI,"Im Too Cold
(prod. Chinatown)
(okay)","Song leaked by Cold on September 25, 2025. Dropped by Chinatown on Soundcloud the next day. The file is lower quality than the one that leaked.",3:05,"Sep 26, 2025",Single,No,https://soundcloud.com/chinatownbeats/im-too-cold-produced-by
BABY BOI,"⭐ Lil Baby - Let's Do It [V5]
(feat. Playboi Carti & Skooly) (prod. Clif Shayne, DJ Moon & KP Beatz)
(RATCHET, WASSUP, ATL, LEHH DO IT)","OG Filename: 07_Let's_Do_It_feat_Playboi_Carti,_Skooly_MAIN_MIX_2_SING_MASTER
Cut-down version of V4 made in November 2025 for Lil Baby's ""THE LEAK$"". Carti's intro is replaced by instrumental, removes Skooly's verse, less Skooly hooks, and Carti's hook repeats at the end. Carti's verse also has more autotune than the leaked one. Released on December 3rd, 2025. OG file for Let's Do It. Leaked as a bonus by Raahim for the Push Up buy.",3:22,"Dec 3, 2025",Feature,Yes,https://open.spotify.com/track/7bhMeTchpDsG69wNmAZgzN
BABY BOI,"⭐ Yung Bans - 4tspoon
(feat. Playboi Carti) (prod. Discopark)","OG Filename: 4Tspoon mixtape dj edit
Officially released by Yung Bans on DSPs on April 10, 2026 (it was also available outside the US on the fan-uploaded mixtape ""In Abundance"" on Carti's account).",2:53,"Apr 10, 2026",Feature,Yes,https://open.spotify.com/track/297vlZ7RskVulobz8icVHZ 
