Era,Name,Notes,Track Length,Release Date,Type,Streaming,Link(s)
"Forever, ILY","⭐ battle of the bands
(prod. K’Shaun Beats)","
The song was uploaded on SoundCloud but since been taken down.",3:42,"Jun 21, 2019",Single,No,https://pillows.su/f/f3ee8a7a3b94a8bdaaee32d064f70220
"Forever, ILY","✨ 24Days
(prod. T8ko & Tired)",Uploaded by Destroy Lonely on SoundCloud.,1:59,"Jul 6, 2019",Single,No,https://soundcloud.com/destroylonely/24daysprod-tired-t8koo?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
"Forever, ILY","⭐ Bane
(prod. 4ME)","Uploaded by Destroy Lonely on Spotify.
Just over two years after its release, the track’s instrumental eventually made it’s rounds on TikTok. It quickly became a trend where users were often seen moving in some sort of way, and then reversing their movements, in a fun or entertaining manner.",2:20,"Jul 30, 2019",Single,Yes,https://open.spotify.com/track/2TKwo7J4oyyiYZvck7ky3R?si=476dc5c747be4730
"Forever, ILY","⭐ usual
(prod. 4ME)","Track 1 on Forever, ILY.",2:11,"Aug 23, 2019",EP Track,Yes,https://open.spotify.com/track/0kuDDVM7lsP6nONTZXdzMp?si=f18bd71415754c8e
"Forever, ILY","⭐ mollywrld
(prod. 4ME)","OG Filename: LANDR-molly world-High-Balanced
Track 2 on Forever, ILY. Samples Location from Playboi Carti",1:32,"Aug 23, 2019",EP Track,Yes,https://open.spotify.com/track/4nAn0CNm3No9wea47O7AIO?si=6736068293e84cbe
"Forever, ILY","✨ luna
(prod. Gren8)","OG Filename: LANDR-lone luna-High-Balanced
Track 3 on Forever, ILY. Lone later sampled the song 5 years later on 'LOVE HURTS' from 'LOVE LASTS FOREVER'.",2:05,"Aug 23, 2019",EP Track,Yes,https://open.spotify.com/track/37aow4Fe5cy9clSSTzv5Y1?si=d9dec283afb1474e
"Forever, ILY","traphousemansion (interlude)
(prod. Spooks)","Track 4 on Forever, ILY.",2:09,"Aug 23, 2019",EP Track,Yes,https://open.spotify.com/track/0TiXnLO0g3QStiFKBusMMH?si=ed12901d1f3e4526
"Forever, ILY","⭐ mud
(prod. Flexiko)","OG Filename: LANDR-lonely mud 2 -High-Balanced
Track 5 on Forever, ILY. The beat was taken from YouTube as a 'Playboi Carti type beat'.",1:47,"Aug 23, 2019",EP Track,Yes,https://open.spotify.com/track/2X3ApPn9I0MpPdKCjDtwH5?si=d909262c637b4c21
"Forever, ILY","✨ cutie
(prod. Tired & GloBeats)","OG Filename: LANDR-lone cutie 1-Medium-Balanced
Track 6 on Forever, ILY.",2:20,"Aug 23, 2019",EP Track,Yes,https://open.spotify.com/track/2bpGHLHgHX5PkIyCQfHWHl?si=8b502e39df404d56
"Forever, ILY",mollywrld [Music Video],"official MV for track 2 on Forever, ILY. Was released & then deleted.",N/A,N/A,Music Video,No,https://imgur.gg/f/Xd4AXLo
"Forever, ILY",bane [Music Video],"Official MV for Bane. Was released and then deleted. Filmed same day as mollywlrd MV, but in different locations.",N/A,N/A,Music Video,No,https://imgur.gg/f/AFd2pD0
"Forever, ILY",usual [Music Video],Music video for usual released by FOREVER ALIVE.,N/A,"Jul 28, 2019",Music Video,No,https://www.youtube.com/watch?v=2bjp_vJmxNY
"0 Album Track(s)
15 Single(s)
2 Feature(s))
0 Mixtape Track
9 EP Track",Underworld.,"(Aug 23, 2019) (Forever, ILY officially releases)
(Mar 6, 2020) (Underworld. officially releases)",,,,"Named after the 2003 vampire film, Underworld is Destroy Lonely’s second mixtape which was self-released on March 6th, 2020. The tape features production with producers such as Clayco, Checkdior, ogabi and camace with hard hitting bass but also some ambient and alluring melodies.",
,2019 Underworld.,"(Aug 23, 2019) (Forever, ILY officially releases)
(Jan 1, 2020) (New Years Day)",,,,,
Underworld.,"✨ n(n) 
(prod. ProllyIan)","OG Filename: lone nn 2
Released by Destroy Lonely in September 2019.",2:29,"Sep 27, 2019",Single,Yes,https://open.spotify.com/track/6vGxjNWiWhEkWtqCDDds15?si=30d335679cfd41b2
Underworld.,"kross kountry
(prod. Areyoudeaf)",Uploaded by Destroy Lonely on SoundCloud.,2:30,"Oct 1, 2019",Single,No,https://soundcloud.com/destroylonely/kross-kountry-prod-deaf-video-in-description?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Underworld.,"Nezzus - Twin Kobraz
(feat. Destroy Lonely) (prod. Og abi & Destroy Lonely)",The song was uploaded on SoundCloud but since been taken down.,2:22,"Oct 12, 2019",Feature,No,https://pillows.su/f/86a557b0568b617cdb56de060c762412
Underworld.,"✨ red dead
(prod. Og abi)",Released by Destroy Lonely in October 2019.,1:41,"Oct 31, 2019",Single,Yes,https://open.spotify.com/track/2K4D48nCUUzlBatgZPmrD2?si=e280ae865aa84f3b
Underworld.,"private
(prod. Spooks)",The song was uploaded on SoundCloud but since been taken down.,2:16,"Nov 10, 2019",Single,No,https://pillows.su/f/7e51bb4d4533568f8a54b733fad65323
Underworld.,"🗑️ $$$
(prod. NerdCoke & Cortdot)","OG Filename: LANDR-$$$$$-High-Balanced
Released by Destroy Lonely in November 2019.",2:11,"Nov 22, 2019",Single,Yes,https://open.spotify.com/track/40pCng6PubR7CEZwW4MGIN?si=76c451b094554425
Underworld.,"down bad
(prod. Ody Doze)","OG Filename: lonely down bad
The song was uploaded on SoundCloud but since been taken down.",2:24,"Dec 2, 2019",Single,No,https://pillows.su/f/8ded507f25f89c4d693130fdfb4c50f4
Underworld.,"🗑️ runtz
(prod. Pvps)","OG Filename: lone Runtz2
Uploaded by Destroy Lonely on SoundCloud.",2:03,"Dec 7, 2019",Single,No,https://soundcloud.com/destroylonely/runtz-prod-pvps-video-in-description?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Underworld.,"✨ this christmas.
(prod. Checkdior)","OG Filename: lone this christmas2
Uploaded by Destroy Lonely on SoundCloud.",2:39,"Dec 25, 2019",Single,No,https://soundcloud.com/destroylonely/this-christmas-prod-checkdior?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Underworld.,"kross kountry [Music Video]
(dir. yungjitsu)",Music video for kross kountry.,2:35,"Oct [?], 2019",Music Video,No,https://imgur.gg/f/SkPKzy5
Underworld.,"Twin Kobraz [Music Video]
(dir. purehotboy)",Music video for Twin Kobraz with Nezzus.,3:00,"Oct 12, 2019",Music Video,No,https://www.youtube.com/watch?v=mJV-EXI8Y9g
Underworld.,"4am [Music Video]
(dir. SHANETHESHREDDER)","Music Video from track 1 on addicted to money, 4am.
Oddly enough, despite 4am and the rest of the songs from the 'addicted to money' EP being released on August 7th, 2020, the music video for this song was released nearly a full year beforehand.",2:28,"Oct 24, 2019",Music Video,No,https://www.youtube.com/watch?v=3Y7Auqv_5lE
Underworld.,"runtz [Music Video]
(dir. nizzlethegod)",Music video for Runtz.,1:52,"Dec [?], 2019",Music Video,No,https://music.froste.lol/video/84637c1f1a35253b4d6cf60bd8eaad54
Underworld.,"$$$ [Music Video]
(dir. darko)",Music video for $$$,2:11,"Dec 7, 2019",Music Video,No,https://www.youtube.com/watch?v=eloX-ZNkk6Q&list=PLW_aRjT4jxQtRkz6bX8cvTW-TQhiifnyz&index=17
,2020 Underworld.,"(Jan 1, 2020) (New Years Day)
(Mar 6, 2020) (Underworld. officially releases)",,,,,
Underworld.,real,The song was uploaded on SoundCloud via Hitechstef but since been taken down.,1:56,Date needed,Single,No,https://pillows.su/f/9ca918f5610dec37ad3c3da6a6a7707b
Underworld.,"ATL Smook - Burnt Out
(with Destroy Lonely) (prod. Lifted & Ferno)",The song was uploaded on SoundCloud but since been taken down.,3:34,"Jan 12, 2020",Feature,No,https://pillows.su/f/7cdde3e17e59c7f04dc712b981fa313c
Underworld.,"✨ dream about me.
(prod. Clayco)",Released by Destroy Lonely in January 2020.,3:10,"Jan 12, 2020",Single,Yes,https://open.spotify.com/track/22Mwe9hxCRbnXxqU9HmIX2?si=f3e3f8e6f3f94601
Underworld.,"🗑️ WATER
(with BigSmokeChapo, Fluhkunxkhos & Nezzus) (prod. Casok)",Uploaded by Destroy Lonely on SoundCloud.,2:37,"Feb 2, 2020",Single,No,https://soundcloud.com/destroylonely/water-bigsmokechapo-fluhkunxkhos-destroylonely-nezzus-prod-casok?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Underworld.,"leak
(with TAN.) (prod. Clayco)",The song was uploaded on SoundCloud but since been taken down.,2:45,"Feb 10, 2020",Single,No,https://pillows.su/f/15254f1353d7fe1989655b439955fb33
Underworld.,"Yao Ming
(prod. Theory)",The song was uploaded on SoundCloud but since been taken down.,2:19,"Feb 12, 2020",Single,No,https://pillows.su/f/aa6822f1a4faf1d53c48ecb7f0ede64b
Underworld.,"new money/prada u
(prod. Clayco)",The song was uploaded on SoundCloud but since been taken down. Samples 'Top' by Playboi Carti.,2:13,"Feb 17, 2020",Single,No,https://pillows.su/f/04aeeab5343eb19180335fdcf96bb088
Underworld.,"​molly astronaut
(prod. 4ME)","OG Filename: vivi feat
The song was uploaded on SoundCloud but since been taken down.",2:08,"Mar 26, 2020",Single,No,https://pillows.su/f/6befa7c4156f460d34e1fa85188ae47c
Underworld.,"✨ online
(prod. Clayco)","OG Filename: 01 Online
Track 1 on Underworld.",2:09,"Mar 6, 2020",EP Track,No,https://pillows.su/f/e53143050682227af9b547d47d834e10
Underworld.,"⭐ margiela man
(prod. Checkdior)","
Track 2 on Underworld.",2:12,"Mar 6, 2020",EP Track,No,https://pillows.su/f/634cf569ab37453b8f563753f30128ae
Underworld.,"loot
(prod. CamAce)",Track 3 on Underworld.,2:18,"Mar 6, 2020",EP Track,No,https://pillows.su/f/683fb2e7bc10425b838e9ceb18565680
Underworld.,"expiration date
(prod. Clayco)","OG Filename: 05 Expiration Date
Track 4 on Underworld.",2:20,"Mar 6, 2020",EP Track,No,https://pillows.su/f/12eb3472b6225c36502f16fd29640928
Underworld.,"real life (interlude)
(prod. Clayco)","OG Filename: 04 Real life (interlude)
Track 5 on Underworld.",3:26,"Mar 6, 2020",EP Track,No,https://pillows.su/f/7775156c5cfd1b1f1df5e006217df2db
Underworld.,"✨ nobody
(prod. Og abi)","OG Filename: 02 Nobody
Track 6 on Underworld.",2:14,"Mar 6, 2020",EP Track,No,https://pillows.su/f/07445be160c6d4addb5e6af70498df29
Underworld.,"kool
(prod. Clayco)","OG Filename: 06 Kool
Track 7 on Underworld.",3:00,"Mar 6, 2020",EP Track,No,https://pillows.su/f/09c30c36964e504beb9d864e90e679b2
Underworld.,"mochiatto
(prod. Clayco)",Track 8 on Underworld. The track was taken off.,2:34,"Mar 6, 2020",EP Track,No,https://pillows.su/f/b63072afcbad50292e4af914404ce8c2
Underworld.,"snot nose
(feat. BigSmokeChapo) (prod. Clayco)",Track 9 on Underworld. The track was taken off.,2:18,"Mar 6, 2020",EP Track,No,https://pillows.su/f/b25478e8741c62a24089bb5d119a4637
Underworld.,"kool [Music Video]
(dir. darko)",Music video for kool,2:45,"May [?], 2020",Music Video,No,https://imgur.gg/f/5fv5by9
Underworld.,"snot nose [Music Video]
(dir. makpayne3)",Music video for snot nose with BigSmokeChapo,2:46,"Jun 12, 2020",Music Video,No,https://www.youtube.com/watch?v=c0v_M5oUfvY
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
4 EP Track",LORD,"(May 23, 2020) (ECSTASY is released)
(Jun 26, 2020) (LORD officially releases)",,,,"After releasing ""Underworld.,"" Destroy Lonely goes on to release his second EP of 2020 being ""LORD,"" after ""ECSTASY,"" It was rumored that some songs from the LORD sessions were considered for the first version of NO STYLIST but it is highly unlikely.",
LORD,"✨ Seasons
(prod. ProllyIan)","OG Filename: lonely seasons prod prolly ian
Track 1 on LORD.",1:53,"Jun 26, 2020",EP Track,Yes,https://pillows.su/f/1576342faac4abadf84793eceeeb7c2d
LORD,"Which 1 / Klueless
(prod. Yung Pedro & Leoo1600)","OG Filename: lonely which 1 klueless
Track 2 on LORD.",2:23,"Jun 26, 2020",EP Track,Yes,https://pillows.su/f/88467b6ad81e151a87ca8ec93da9c160
LORD,"⭐ Layover
(prod. Clayco)","OG Filename: lonely layover prod clayco
Track 3 on LORD.",2:43,"Jun 26, 2020",EP Track,Yes,https://pillows.su/f/7f2749ab95b2ac3dc7b1ef2671691b47
LORD,"✨ Devil Wears Prada
(prod. Og abi)","OG Filename: lone devil wears prada prod og abi x joker
Track 4 on LORD.",2:35,"Jun 26, 2020",EP Track,Yes,https://pillows.su/f/f0ca9623d9278b367bbdba710afaf8f2
LORD,"layover [Music Video]
(dir. makpayne3)",Music video for layover,2:33,"Jul 5, 2020",Music Video,No,https://www.youtube.com/watch?v=kjKSOnu4P4E
LORD,"which 1 / Klueless [Music Video]
(dir. x)",Music video for which 1 / Klueless. Was released & then deleted,2:23,Date needed,Music Video,No,https://imgur.gg/f/WkENRX8
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
2 EP Track","ECSTASY
(Collaboration with XTCY)","(Mar 6, 2020) (Underworld. officially releases)
(May 23, 2020) (ECSTASY is released)",,,,Collaborative mixtape with producer XTCY.,
ECSTASY,"⭐ INTO IT
(prod. XTCY)","OG Filename: destroylonely - into it prod xtcy
Track 1 on ECSTASY.",2:12,"May 23, 2020",EP Track,No,https://pillows.su/f/5daf8a4c57651ca4215dd930b76d968c
ECSTASY,"✨ HIGH AF
(prod. XTCY)","OG Filename: destroylonely high af mix 2
Track 2 on ECSTASY.",2:44,"May 23, 2020",EP Track,No,https://pillows.su/f/9a0d3f69bd07f23dbb738b702e6c4859
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
5 EP Track",addicted to money,"(Jun 26, 2020) (LORD releases)
(Aug 7, 2020) (addicted to money officially releases)",,,,"EP released by Lone on August 7th, 2020 in the time leading up to Broken Hearts.",
addicted to money,"4am
(prod. Flex Malik)",Track 1 on addicted to money.,2:19,"Aug 7, 2020",EP Track,No,https://pillows.su/f/2ec6a9d72da46e571bb72acb94c74dbf
addicted to money,"⭐ motion
(prod. Tired & Ambienthug)",Track 2 on addicted to money.,1:59,"Aug 7, 2020",EP Track,No,https://pillows.su/f/94d566b9076f8cfc9b1b729a2ed23d9a
addicted to money,"🗑️ code
(prod. Pvps)",Track 3 on addicted to money.,2:29,"Aug 7, 2020",EP Track,No,https://pillows.su/f/ae6f2c2915184f2836bd390ee5d68318
addicted to money,"koma
(prod. Og abi)",Track 4 on addicted to money.,2:10,"Aug 7, 2020",EP Track,No,https://pillows.su/f/8fef94e3e4675d5e4c1ca697cd37ed58
addicted to money,"✨ goin up (atm)
(prod. Og abi)",Track 5 on addicted to money.,2:07,"Aug 7, 2020",EP Track,No,https://pillows.su/f/d864427027f6b3875d7781d8762c2b56
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
0 EP Track","</3
(Broken Hearts, Broken Hearts 2, ᐸ/3²)","(Sep 15, 2020) (Miley Cyrus is released)
(Sep 25, 2020) (ᐸ/3 officially releases)
(Oct 31, 2020) (ᐸ/3² officially releases)",,,,First commercial mixtape released by Destroy Lonely. This was a very important part of his career.,
</3,"✨ Top Floor Boss
(prod. Clayco)",Track 1 on ᐸ/3²,1:57,"Oct 31, 2020",Mixtape Track,Yes,https://open.spotify.com/track/4OJgqyLQh5oM38PzThaqIp?si=81e555105d114ab5
</3,"⭐ Oh Yeah
(prod. Spooks & Clayco)",Track 2 on ᐸ/3²,1:57,"Oct 31, 2020",Mixtape Track,Yes,https://open.spotify.com/track/0W1ARrXV43iwb2JjLXzOZT?si=02fa094449434c2f
</3,"Pop Shit / Xtra
(prod. Clayco)",Track 3 on ᐸ/3²,1:52,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/2JqrN4vEuPjcSzQLCL8TCM?si=d47905ed20664d50
</3,"⭐ Miley Cyrus
(prod. Clayco)",Track 4 on ᐸ/3². Also the albums lead single.,2:42,"Sep 15, 2020",Single,Yes,https://open.spotify.com/track/3tDDP7b2oFHXEAgTbdK7ZF?si=eb0c31ec0c7549a2
</3,"⭐ F.U.N
(prod. Cade)",Track 5 on ᐸ/3²,1:41,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/38omqF9cseHq6PRFFKY2eS?si=5882fb7a5efc4ea0
</3,"⭐ Ya Ight
(prod. Clayco)",Track 6 on ᐸ/3². Notably contains a lyric that Lone took from a Instagram Live comment.,2:24,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/53PXF0j3mH4W3QUoS2SgYP?si=14f31e4a58e4469f
</3,"⭐ Dover Street Market
(prod. Clayco)",Track 7 on ᐸ/3²,2:22,"Oct 31, 2020",Mixtape Track,Yes,https://open.spotify.com/track/4ynCMuUKH4btdbX9K9Z4zR?si=e6ee072c929d458d
</3,"⭐ Tokyo Mission Impossible
(prod. Clayco)",Track 8 on ᐸ/3²,2:40,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/482HJ19iYXh0ak4stuOeSc?si=b0a08d205ca24877
</3,"OK BAE
(prod. Clayco)",Track 9 on ᐸ/3²,2:03,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/6xek2KkgNflp3M13FRpXRF?si=f72c60e470964ad5
</3,"Take A Pic (Interlude)
(prod. Clayco)",Track 10 on ᐸ/3²,2:11,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/6PC2WuZTqMQjm1cgJcnQiG?si=cba6a0d05e7b426a
</3,"Movie
(prod. Clayco)",Track 11 on ᐸ/3²,2:19,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/7cBHPtUdCkkhVy0BkAXi0O?si=1fc5d069d5044841
</3,"Groupie Btch
(prod. ProllyIan)",Track 12 on ᐸ/3²,2:08,"Oct 31, 2020",Mixtape Track,Yes,https://open.spotify.com/track/0tBe1aHBpw368FYkWh4mOo?si=236ba87d62b149e8
</3,"Do or Die
(prod. Clayco)",Track 13 on ᐸ/3²,2:00,"Oct 31, 2020",Mixtape Track,Yes,https://open.spotify.com/track/5tTcPcICEwxbqXmjAxmiE5?si=1c663ce92de34f93
</3,"Komin' Back
(prod. Clayco & FORTHENIGHT)",Track 14 on ᐸ/3²,1:54,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/36UqcJ5B8gdyiRivU1GPe5?si=410a2d97c9894e30
</3,"CDG
(prod. YXNGFLAIR)",Track 15 on ᐸ/3²,1:53,"Oct 31, 2020",Mixtape Track,Yes,https://open.spotify.com/track/55FThNIbs0EV0ZkcdwaGN2?si=a6a880601d514eb1
</3,"Diamonds & Foreigns
(prod. YXNGFLAIR)",Track 16 on ᐸ/3²,2:47,"Sep 25, 2020",Mixtape Track,Yes,https://open.spotify.com/track/1DTw1qYL1GGXHTN0wZHgaj?si=cd29f01ad9104ecf
</3,"Oh Yeah [Music Video]
(dir. darko)",Music video for Oh Yeah,1:57,"Dec 16, 2020",Music Video,No,https://www.youtube.com/watch?v=-H4w1Z65ZzI
</3,"Pop Shit / Xtra [Music Video]
(dir. kariuki)",Music video for Pop Shit / XTRA,1:43,"Sep 27, 2020",Music Video,No,https://www.youtube.com/watch?v=M3sLlqHFiUw
</3,"Top Floor Boss
(dir. Hoffman Visuals)",Music video for 'Top Floor Boss'. Released on YouTube by Hoffman Visuals.,1:58,"Jan 28, 2024",Music Video,No,https://www.youtube.com/watch?v=IZxLXuQjj1c
</3,"Miley Cyrus / Ya Ight [Music Video]
(dir. SHANETHESHREDDER)",Music video for Miley Cirus & Ya Ight,3:50,"Nov 27, 2020",Music Video,No,https://www.youtube.com/watch?v=665mU_G0INE
</3,"F.U.N [Music Video]
(dir. Damien Aku)",Music video for F.U.N,1:43,"Nov 12, 2020",Music Video,No,https://www.youtube.com/watch?v=OLuzCKFghrQ
</3,"Tokyo Mission Impossible [Music Video]
(dir. hoffmanvisuals)",Music video for Tokyo Mission Impossible,2:41,"Dec 24, 2020",Music Video,No,https://www.youtube.com/watch?v=pI1kOzIvBbc
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
2 EP Track","Top Floor Vampires
(Collaboration with 5eva)","(Oct 31, 2020) (ᐸ/3² releases)
(Nov 30, 2020) (Top Floor Vampires is released)",,,,Two track collab EP with 5eva (formerly known as lifelessgarments or vamp leek) released shortly after Thanksgiving.,
Top Floor Vampires,"Geek No Sleep
(with 5eva)",Track 1 on Top Floor Vampires.,4:12,"Nov 30, 2020",EP Track,No,https://pillows.su/f/6e4620af7a87c64b5bd220c8a0e4089e
Top Floor Vampires,"✨ High Dosage
(feat. Nezzus) (with 5eva)",Track 2 on Top Floor Vampires.,4:05,"Nov 30, 2020",EP Track,No,https://pillows.su/f/78d35a8f2eb371de30171b4a558c3158
"0 Album Track(s)
0 Single(s)
0 Feature(s))
7 Mixtape Track
0 EP Track",Overseas,"(Oct 31, 2020) (ᐸ/3² is released)
(Dec 1, 2020) (Overseas is released)",,,,Mixtape hosted by hitechstef released at the end of 2020. The mixtape is no longer accessible.,
Overseas,"1017 alyx
(prod. Ody Doze)","OG Filename: lone 1017 prod ody doze
Track 1 on Overseas.",2:36,"Dec 1, 2020",Mixtape Track,No,https://pillows.su/f/6611c790359407ee0aaec8c8f66e9c99
Overseas,"⭐ messy freestyle
(prod. Clayco)","OG Filename: lonely messy freestyle (clayco)
Track 2 on Overseas.",2:17,"Dec 1, 2020",Mixtape Track,No,https://pillows.su/f/b3ebbbade47a4c1500bb0cabf1f77433
Overseas,"✨ siamese
(prod. Yiannionfire)","OG Filename: lonely siamese prod yiannionfire 2
Track 3 on Overseas.",1:30,"Dec 1, 2020",Mixtape Track,No,https://pillows.su/f/d6a2dc03d15b0804949babfa89fc4361
Overseas,"everyday
(prod. Clayco)","OG Filename: lone Everyday clayco
Track 4 on Overseas.",2:32,"Dec 1, 2020",Mixtape Track,No,https://pillows.su/f/07f0a9694caf9e38f24099e18781d31e
Overseas,"✨ lit btchs
(prod. Leoo1600)","OG Filename: lonely lit bitches prod leo 2
Track 5 on Overseas.",3:13,"Dec 1, 2020",Mixtape Track,No,https://pillows.su/f/ec3c3074e3ca3d2b248d4044b4933926
Overseas,"⭐ ​rch ngga / bD btch
(prod. Clayco & 4ME)","OG Filename: lonely late nite vibe v2 clayco 4me
Track 6 on Overseas.",2:50,"Dec 1, 2020",Mixtape Track,No,https://pillows.su/f/d8eeb363ae41b99ccd016c894d6dd12f
Overseas,"✨ cdg 2
(prod. mochila & Glasear)","OG Filename: Lonely - CDG2 (prod glasear x mochila) mix1
Track 7 on Overseas.",2:18,"Dec 1, 2020",Mixtape Track,No,https://pillows.su/f/842626374fb8738342f93e373b56aff7
"0 Album Track(s)
0 Single(s)
0 Feature(s))
0 Mixtape Track
5 EP Track",XO,"(Dec 1, 2020) (Overseas is released)
(Jul 19, 2021) (XO is released)",,,,"EP released on July 19th, 2021, shortly before Lone switched his sound. Falsely believed by many to have released on January 7th, 2021.",
XO,"⭐ tokyoto
(prod. ProllyIan)","OG Filename: lonely Tokyoto prollyian
Track 1 on XO. Sample Lil Uzi Vert's & Future's ""Patek"".",2:10,"Jul 19, 2021",EP Track,No,https://pillows.su/f/a345834e567c88cdb47fb5fcf6039bf5
XO,"✨ i got em
(prod. Ginseng, MISOGI & Loesoe)","OG Filename: lonely I Got Em loesoe ginseng misogi
Track 2 on XO.",2:14,"Jul 19, 2021",EP Track,No,https://pillows.su/f/9854198deedba6589e657f488029261e
XO,"okay ya!
(prod. 1Chai)","OG Filename: lonely Okay Ya v1 chAI
Track 3 on XO.",2:41,"Jul 19, 2021",EP Track,No,https://pillows.su/f/6999b0539db9c79b803db5438f7f8c9f
XO,"⭐ do the most ...
(prod. Clayco)","OG Filename: lonely 71221 v1
Track 4 on XO.",2:12,"Jul 19, 2021",EP Track,No,https://pillows.su/f/6ac9f69b490c40f8b01842c181621fe2
XO,"ok / what i do
(prod. ProllyIan)","OG Filename: lonely what i do prollyian
Track 5 on XO.",2:03,"Jul 19, 2021",EP Track,No,https://pillows.su/f/2d9eba774992ba0d219c6f4274f4b7a4
"0 Album Track(s)
40 Single(s)
17 Feature(s))
0 Mixtape Track
0 EP Track","NO STYLIST [V1]
(LORD, addicted to money, Overseas)","(Mar 6, 2020) (Underworld is released)
(Mar 15, 2020) (NO STYLIST is announced as an 'EP')
(Apr 3, 2020) (It's stated that the project is 'almost done'
(May 1, 2020) (Lone states in an interview that it has become a full album now)
(Sep 30, 2020) (ᐸ/3 officially releases)
(Oct 31, 2020) (ᐸ/3² officially releases)
(Jan 31, 2021) (Lone announces that he signed to Playboi Carti's record label OPIUM & says the project is done but that he wants to put more songs on the project, leading to him reworking it)",,,,"The first mention of NO STYLIST would date all the way back to a tweet from March 2020, where he teased the mixtape as a “mini project”: ""after underworld imma give yall a mini project called no stylist nd imma give yall niggas swag nd let yall play wit it den disappear."" Throughout 2020, Lone would drop various small EPs & continue teasing the album, before outright failing to drop it by years end. In January, he would get signed by Playboi Carti & begin changing his sound and artistic direction.",
NO STYLIST [V1],"​​✨ promiscuous
(prod. T8ko)","OG Filename: lone PG prod t8ko
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",2:13,Date needed,Single,No,https://pillows.su/f/3bf47fafce78d7e4e46023821aa43ac9
NO STYLIST [V1],"BBY GOYARD - Vyvanse
(feat. Destroy Lonely) (prod. Utrippin1 & hoodwtch)",The song was uploaded on SoundCloud via BBY GOYARD.,2:22,"Dec 18, 2020",Feature,Yes,https://open.spotify.com/track/0C3kQ1r7hqeUSwgD0E5qv2?si=5932ecbd8dad460f
NO STYLIST [V1],"Lite Fortunato - All 4 It
(feat. Destroy Lonely) (prod. Embasin & IsaacIndigo)","OG Filename: Lite Fortunato & Destroy Lonely - All 4 It (prod. indigo & embasin.)
The song was uploaded on SoundCloud but since been taken down.",2:57,"Dec 22, 2020",Feature,No,https://pillows.su/f/13660e65eaf55e40cd5467f78c808a04
NO STYLIST [V1],"Xan Baby - Let It
(feat. Destroy Lonely) ",Track 2 of Take Your Glory,3:00,"Aug 14, 2020",Feature,Yes,https://open.spotify.com/track/6Ot54Xgdxk5oRODu3JpfWn?si=08834b7d49494486
NO STYLIST [V1],"✨ K Suave - Manage
(feat. Destroy Lonely) (prod. YoungVegas)",Track 6 on 7 Minutes In Heaven,2:07,"Sep 23, 2020",Feature,Yes,https://open.spotify.com/track/2Z5FchNVVqKyC2Jzr9SPam?si=9cb576b94cc94480
NO STYLIST [V1],"✨ Crushin'
(prod. 4ME & Sossy)","OG Filename: lonely crushin 1
Uploaded by the producer of the song.",3:08,"Aug 31, 2020",Single,No,https://pillows.su/f/41305c22ecb451b18ca37a29a22a7045
NO STYLIST [V1],"✨ D4MG
(prod. Killshenron, 1Velveteen, Clayco & 4ME)
(Die For My Gang)","OG Filename: lonely D4MG 4me x gustavo placement
Uploaded by the producer of the song.",2:12,"Jun 30, 2020",Single,No,https://pillows.su/f/d6d687a06c8d84aa5f0a42654464171d
NO STYLIST [V1],"​nothin 2 me
(prod. 4ME)","OG Filename: lonely nothin 2 me final
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",2:34,"Aug 12, 2020",Single,No,https://pillows.su/f/554fd7ba1eef524c850b0f98beda9888
NO STYLIST [V1],"Tied N
(prod. Clayco)",Released by Destroy Lonely in August 2020.,2:01,"Aug 14, 2020",Single,Yes,https://open.spotify.com/track/0u2gQrhEBjKFhKZl3MQQez?si=56d3b7d7521a42fd
NO STYLIST [V1],"⭐ real shit
(prod. Clayco)","OG Filename: lonely real sh_t prod clayco
The song was uploaded on SoundCloud via Hitechstef but since been taken down.",2:30,"Aug 16, 2020",Single,No,https://pillows.su/f/f363a3273fcba4b9a5cd29a0107532e3
