Era,Name,Notes,Available Length,Leak Date,Type,Availability,Quality,Link(s)
Pink Tape [V3],"Bound
(prod. Riff Grimez)
(Wicked, Pockets Got Fatter)",Instrumental for the leaked song 'Bound'. Posted to YT by the producer back in 2022.,3:00,"Apr 29, 2022",Instrumental,Full,High Quality,LINK NEEDED
Pink Tape [V3],"Braces
(prod. Pro Logic & AyoZVCH)
(Dogged Out)",Instrumental for the leaked song 'Braces'.,,"Dec 25, 2024",Instrumental,Snippet,CD Quality,LINK NEEDED
Pink Tape [V3],"Death
(prod. Riff Grimez)
(Dead, Walking Corpse)",Instrumental for the leaked song 'Death'. Posted to YT by the producer back in 2022.,3:00,"Jun 23, 2022",Instrumental,Full,High Quality,LINK NEEDED
Pink Tape [V3],"Gasolina
(prod. Rich Lou)",Instrumental for the unleaked song 'Gasolina'.,1:13,"Mar 25, 2024",Instrumental,Full,High Quality,https://pillows.su/f/d1a9d6562b61ae667b1694e07e0b2a8a
Pink Tape [V3],"Geek Monster
(prod. Akachi, Deedot Will, & Sonickaboom)","Instrumental for the leaked song 'Geek Monster'. Was previewed on Akachi's IG live on Dec 19, 2024. He later previewed it in the Uzi hub stage.",,"Jul 12, 2025",Instrumental,Partial,High Quality,LINK NEEDED
Pink Tape [V3],"Pink Day
(prod. Akachi & Lyle Leduff)",Instrumental for the leaked song 'Pink Day'. Previewed on Lyle's IG. Akachi later quickly snippeted it in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,Recording,"https://pillows.su/f/35541fa4d3b69c0dd7d7731ee64e94d9
https://pillows.su/f/1fdb92e15c2648c02a24789320f275b2"
Pink Tape [V3],"Star, Star
(prod. Brandon Finessin & Only1Shredder)",Instrumental for the leaked song 'Star Star'.,,"Sep 28, 2025",Instrumental,Snippet,CD Quality,LINK NEEDED
Pink Tape [V3],"Tribal Tattoo
(prod. Brandon Finessin & ZeeGoinXrazy)",Instrumental for the leaked song 'Tribal Tattoo'. Previewed by ZeeGoinXrazy on a Twitch stream.,,"Mar 4, 2026",Instrumental,Snippet,CD Quality,https://pillows.su/f/81ed4aba7f5ac22ac9601d53cdbf5272
Pink Tape [V3],"VETEMENTS Jeans [V1]
(with Playboi Carti) (prod. Maaly Raw, Ambezza & OUTOFAIR)
(By Myself, Justin Bieber, Vetements)","Instrumental for the leaked song 'Vetements Jeans'. Previewed by Maaly Raw in a twitch stream. 
Beat name is not real, someone named it Justin Bieber because the song snippet was named this",,,Instrumental,Partial,High Quality,https://pillows.su/f/a193efa56f5e40ba0cbf828119547161
Pink Tape [V3],"x2
(prod. Ken Carson & Clif Shane)
(Too Kray)",Instrumental for the released song 'x2'.,3:54,"Oct 6, 2023",Instrumental,Full,CD Quality,https://pillows.su/f/59f9d3be810474c3aad94771233d1161
Pink Tape [V3],"DJ Khaled - SUPPOSED TO BE LOVED
(feat. Lil Baby, Future, & Lil Uzi Vert) (prod. DJ Khaled, TM88)",Instrumental for the released song 'SUPPOSED TO BE LOVED' by DJ Khaled.,,"Aug 16, 2023",Instrumental,Full,CD Quality,LINK NEEDED
,Acapellas,,,,,,,
Pink Tape [V3],"iann dior - V12
(feat. Lil Uzi Vert) (prod. Taz Taylor, Nick Mira & Cxdy)","OG Filename: 04 - V12 ACA MT MIX EDIT MIXV10 MT002
Official acapella for the iann dior song ""V12"" featuring Uzi.",2:57,"Mar 12, 2023",Acapella,Full,CD Quality,LINK NEEDED
Pink Tape [V3],7x Pink Tape Song Acapellas,"Ripped from the Dolby Atmos stems for Pink Tape, some are just the lead vocals, some have adlibs, songs missing weren't just the vocals and had other stems like the 808s etc mixed in, only these songs are just the vocals
Includes: Died and Came Back, I Gotta (Ridiculous), Mama I'm Sorry, Nakamura, Pluto To Mars, That Fiya, and x2",,"Aug 8, 2023",Acapella,Full,CD Quality,LINK NEEDED
,Sessions,,,,,,,
Pink Tape [V3],"Ain't Regular*
(prod. K RICH, London On Da Track, O.T Beats & Tone Deaf)","Full session for the song ""Ain't Regular"".",N/A,"Mar 23, 2024",Session,Full,Lossless,LINK NEEDED
Pink Tape [V3],"iann dior - V12
(feat. Lil Uzi Vert) (prod. Taz Taylor, Nick Mira & Cxdy)","Official acapella for the iann dior song ""V12"". Leaked March 12th, 2023.",,"Mar 12, 2023",Acapella,Full,CD Quality,LINK NEEDED
,Barter 16,,,,,,,
,Instrumentals,,,,,,,
Barter 16,"Alright
(prod. ​madd maks, Bugz Ronin, ‎xgiannii & Emildollaz)",Alt Instrumental for the leaked song 'Alright' using the same beat loop. Likely made long time before Uzi used the beat.,1:31,"Jan 13, 2025",Alt Instrumental,Full,CD Quality,LINK NEEDED
Barter 16,"Blow Da Whistle
(prod. R.L. Beats & Starborn)
(McWhistle, They Still Cry)",Instrumental for 'Blow Da Whistle' before Lyle Leduff added his production.,3:21,,Alt Instrumental,Full,CD Quality,https://pillows.su/f/104bfc03a55f1412fd5b8981d9e0b064
Barter 16,"Bob Marley
(prod. London on da Track, Chi Chi & ZiggyMadeIt)
(Smoke To The Face)",Instrumental for the leaked song 'Bob Marley'.,1:41,"Mar 20, 2024",Instrumental,Full,Lossless,https://pillows.su/f/7c9b2cbc956028baa5335de3d71eb7c3
Barter 16,"Chill Bae
(prod. Ike Beatz)
(Don't Do It)","Original instrumental to the released song ""Chill Bae"" before it was updated for Eternal Atake 2. Was previewed in an IG live by Ike Beatz on Aug 18, 2023.",N/A,"Aug 18, 2023",Alt Instrumental,Full,Recording,LINK NEEDED
Barter 16,"Fire Up*
(prod. London on da Track) (?)
(I Want 2 Love You)",Instrumental for the leaked song 'Fire Up'.,1:18,"Mar 19, 2024",Instrumental,Full,Lossless,https://pillows.su/f/d4e8a35b754a09e1d4de3a5ffb4db130
Barter 16,"Warrior
(prod. London on da Track & Metro Boomin)",Instrumental for the first version of 'Warrior'.,N/A,"Mar 22, 2024",Instrumental,Full,Lossless,https://pillows.su/f/2bd69ef4c6d8849484ca06a4cc423d89
,Sessions,,,,,,,
Barter 16,"Bob Marley
(prod. London on da Track, Chi Chi & ZiggyMadeIt)
(Smoke To The Face)",Full session for the song 'Bob Marley'.,N/A,"Mar 20, 2024",Session,Full,Lossless,https://mega.nz/file/NO8x3KaR#WK8XoF50MVLcVIRWrFxOI6vHwj7eSg16khFKElLSq_c
Barter 16,"Fire Up*
(prod. London on da Track) (?)
(I Want 2 Love You)","Full session for the song ""Fire Up/I Want 2 Love You"", seemingly has files only for 2nd version of song.",N/A,"Mar 19, 2024",Session,Full,CD Quality,LINK NEEDED
Barter 16,"Warrior
(prod. London on da Track & Metro Boomin)",Full session for the song 'Warrior'.,N/A,"Mar 22, 2024",Session,Full,Lossless,https://mega.nz/file/J38hUAhK#dOGQxuLc0uK7z2wvZS_0qfUHJzBQ8V7G11GZ21r2NEk
,LUV Is Rage 3 [V2],,,,,,,
,Instrumentals,,,,,,,
LUV Is Rage 3 [V2],"Mopar
(prod. RimaThugger)",Instrumental loop for the unleaked song 'Mopar'.,,"Nov 25, 2024",Instrumental,Full,High Quality,LINK NEEDED
LUV Is Rage 3 [V2],"Too Rich
(prod. Akachi & Good Charlotte)",Instrumental for the unleaked song 'Too Rich'. Previewed by Akachi in the Uzi hub stage.,,"Jul 12, 2025",Instrumental,Partial,High Quality,https://pillows.su/f/a0bd25ea008dc9c4cccc57713a128139
,Eternal Atake 2,,,,,,,
,Instrumentals,,,,,,,
Eternal Atake 2,"Binary Trigger [V1]
(prod. blonkoh & J Kari)
(Lil Uzi World, Let Luv Go)",Instrumental for the unleaked version of 'Binary Trigger'. Leaked by AMG.,2:18,"Mar 18, 2026",Instrumental,Full,High Quality,https://pillows.su/f/7a7308ec7cb44e5d594724560b211e51
Eternal Atake 2,"It's Okay*
(prod. Brandon Finessin, madd maks, & Prod Sohi)",Instrumental loop for the unleaked song 'It's Okay'.,,,Instrumental,Full,High Quality,LINK NEEDED
Eternal Atake 2,"Still Wanna Rock
(prod. MCVertt & Synthetic)
(Just Wanna Rock Pt. 2, Just Wanna Rock Remix)",Instrumental for the unleaked song 'Still Wanna Rock'.,,,Instrumental,Partial,Lossless,LINK NEEDED
,ALL WHITE,,,,,,,
,Instrumentals,,,,,,,
ALL WHITE,"Ball Baby*
(prod. Maaly Raw)
(Buy The Mall, Wassup Maaly, We Ball)","Instrumental for the unleaked song 'Ball Baby'. Said to be the 'original' beat from 2021, but this isn't confirmed.",,"Dec 15, 2024",Alt Instrumental,Snippet,High Quality,LINK NEEDED
,W.H.2.U,,,,,,,
,Instrumentals,,,,,,,
W.H.2.U,"Hansen Helly
(prod. ZeeGoinXrazy)",Instrumental for 'Hansen Helly'. Beat previewed be ZeeGoingXrazy on a Twitch stream.,,"Mar 4, 2026",Instrumental,Snippet,CD Quality,https://pillows.su/f/b2e3db0d8279a70f7b3a656f374eb887
,"LP 5
(W.H.2.U [V2], Cor(e))",,,,,,,
,Instrumentals,,,,,,,
LP 5,"What You Saying
(prod. MCVERTT)",Instrumental for the unreleased song 'What You Saying''. Taken from Uzi's website where it played in the background.,2:11,"Dec 21, 2025",Instrumental,Full,Lossless,LINK NEEDED
